RNA_id,mol_id,true_affinity,predicted_affinity,ablation,fold,seed
Target_391,1327,6.272784233093262,5.539829730987549,target-swap,1,0
Target_219,1288,6.588380336761475,7.376725673675537,target-swap,1,0
Target_361,740,4.301030158996582,4.655279159545898,target-swap,1,0
Target_185,804,7.397940158843994,5.71579647064209,target-swap,1,0
Target_265,1809,6.661543369293213,6.010433197021484,target-swap,1,0
Target_180,2473,6.200659275054932,6.181077003479004,target-swap,1,0
Target_186,633,4.0,5.348712921142578,target-swap,1,0
Target_357,1174,4.71669864654541,6.608771324157715,target-swap,1,0
Target_186,655,3.301029920578003,4.80419921875,target-swap,1,0
Target_186,156,4.455932140350342,5.745573043823242,target-swap,1,0
Target_413,2051,6.659555912017822,6.2631635665893555,target-swap,1,0
Target_356,1794,4.698969841003418,6.30537748336792,target-swap,1,0
Target_186,104,6.903090000152588,4.28511905670166,target-swap,1,0
Target_348,1737,5.481485843658447,5.403103351593018,target-swap,1,0
Target_401,383,5.397940158843994,4.587574005126953,target-swap,1,0
Target_216,2272,6.9281182289123535,4.023387908935547,target-swap,1,0
Target_395,819,4.0,3.9121227264404297,target-swap,1,0
Target_186,665,3.910094976425171,3.2486684322357178,target-swap,1,0
Target_186,142,3.8356471061706543,5.203943729400635,target-swap,1,0
Target_186,153,3.6861326694488525,5.6648969650268555,target-swap,1,0
Target_114,2464,5.649558067321777,4.773520469665527,target-swap,1,0
Target_186,110,3.6382720470428467,4.466333866119385,target-swap,1,0
Target_154,1778,5.79587984085083,5.7405619621276855,target-swap,1,0
Target_413,233,6.136677265167236,6.042279243469238,target-swap,1,0
Target_204,1003,4.3565473556518555,6.955227851867676,target-swap,1,0
Target_61,1564,5.397940158843994,5.130388259887695,target-swap,1,0
Target_414,1208,6.721246242523193,5.797726631164551,target-swap,1,0
Target_186,149,3.467245578765869,5.291507720947266,target-swap,1,0
Target_186,374,5.823908805847168,6.342395782470703,target-swap,1,0
Target_413,241,7.259637355804443,5.848773002624512,target-swap,1,0
Target_208,844,4.823908805847168,6.415839195251465,target-swap,1,0
Target_77,2472,6.2441253662109375,7.3411664962768555,target-swap,1,0
Target_407,2080,5.896196365356445,5.278315544128418,target-swap,1,0
Target_65,2427,6.92081880569458,4.151156425476074,target-swap,1,0
Target_438,2462,5.955852508544922,5.1854681968688965,target-swap,1,0
Target_186,145,3.735182285308838,5.261526584625244,target-swap,1,0
Target_162,952,6.187086582183838,4.810878276824951,target-swap,1,0
Target_3,2195,5.585026741027832,5.891266822814941,target-swap,1,0
Target_208,837,4.698969841003418,6.388181686401367,target-swap,1,0
Target_413,897,4.129011154174805,4.099470615386963,target-swap,1,0
Target_413,256,3.568636178970337,3.982028007507324,target-swap,1,0
Target_413,240,6.0,3.7392759323120117,target-swap,1,0
Target_186,653,8.698969841003418,5.752358436584473,target-swap,1,0
