,rna,mol,label
0,0,0,0
1,0,1,0
2,0,2,0
3,0,3,0
4,0,4,0
5,0,5,0
6,0,6,1
7,0,7,0
8,0,8,0
9,0,9,0
10,0,10,0
11,0,11,0
12,0,12,0
13,0,13,0
14,0,14,0
15,0,15,0
16,0,16,0
17,0,17,0
18,0,18,1
19,0,19,0
20,0,20,0
21,0,21,0
22,0,22,0
23,0,23,0
24,0,24,0
25,0,25,0
26,0,26,0
27,0,27,0
28,0,28,1
29,0,29,0
30,0,30,0
31,0,31,1
32,0,32,0
33,0,33,0
34,0,34,0
35,0,35,1
36,0,36,1
37,0,37,0
38,0,38,0
39,0,39,0
40,0,40,0
41,0,41,0
42,0,42,0
43,0,43,0
44,0,44,0
45,0,45,0
46,0,46,0
47,0,47,0
48,0,48,1
49,0,49,1
50,0,50,0
51,0,51,0
52,0,52,0
53,0,53,0
54,0,54,0
55,0,55,0
56,0,56,0
57,0,57,0
58,0,58,0
59,0,59,0
60,0,60,0
61,0,61,0
62,0,62,0
63,0,63,0
64,0,64,1
65,0,65,0
66,0,66,0
67,0,67,0
68,0,68,1
69,0,69,0
70,0,70,0
71,0,71,1
72,0,72,0
73,0,73,0
74,0,74,0
75,0,75,1
76,0,76,0
77,0,77,0
78,0,78,0
79,0,79,0
80,0,80,0
81,0,81,1
82,0,82,0
83,0,83,0
84,0,84,1
85,0,85,0
86,0,86,0
87,0,87,0
88,0,88,0
89,1,0,1
90,1,1,1
91,1,2,0
92,1,3,0
93,1,4,1
94,1,5,0
95,1,6,1
96,1,7,0
97,1,8,0
98,1,9,0
99,1,10,0
100,1,11,0
101,1,12,0
102,1,13,1
103,1,14,0
104,1,15,0
105,1,16,0
106,1,17,0
107,1,18,0
108,1,19,0
109,1,20,0
110,1,21,0
111,1,22,1
112,1,23,0
113,1,24,0
114,1,25,0
115,1,26,0
116,1,27,0
117,1,28,1
118,1,29,0
119,1,30,0
120,1,31,0
121,1,32,0
122,1,33,0
123,1,34,0
124,1,35,0
125,1,36,1
126,1,37,0
127,1,38,1
128,1,39,0
129,1,40,0
130,1,41,1
131,1,42,0
132,1,43,0
133,1,44,0
134,1,45,0
135,1,46,0
136,1,47,0
137,1,48,1
138,1,49,1
139,1,50,0
140,1,51,1
141,1,52,0
142,1,53,0
143,1,54,0
144,1,55,1
145,1,56,1
146,1,57,0
147,1,58,1
148,1,59,0
149,1,60,0
150,1,61,1
151,1,62,0
152,1,63,1
153,1,64,0
154,1,65,0
155,1,66,1
156,1,67,0
157,1,68,1
158,1,69,1
159,1,70,0
160,1,71,1
161,1,72,1
162,1,73,0
163,1,74,0
164,1,75,0
165,1,76,1
166,1,77,0
167,1,78,1
168,1,79,0
169,1,80,0
170,1,81,1
171,1,82,0
172,1,83,1
173,1,84,1
174,1,85,1
175,1,86,0
176,1,87,0
177,1,88,0
178,2,0,0
179,2,1,0
180,2,2,0
181,2,3,0
182,2,4,0
183,2,5,1
184,2,6,0
185,2,7,0
186,2,8,0
187,2,9,0
188,2,10,0
189,2,11,0
190,2,12,0
191,2,13,0
192,2,14,0
193,2,15,0
194,2,16,0
195,2,17,0
196,2,18,0
197,2,19,0
198,2,20,0
199,2,21,0
200,2,22,1
201,2,23,0
202,2,24,0
203,2,25,0
204,2,26,0
205,2,27,0
206,2,28,0
207,2,29,0
208,2,30,0
209,2,31,0
210,2,32,0
211,2,33,0
212,2,34,0
213,2,35,0
214,2,36,0
215,2,37,0
216,2,38,0
217,2,39,1
218,2,40,0
219,2,41,0
220,2,42,0
221,2,43,0
222,2,44,0
223,2,45,0
224,2,46,0
225,2,47,0
226,2,48,0
227,2,49,0
228,2,50,0
229,2,51,0
230,2,52,0
231,2,53,1
232,2,54,0
233,2,55,0
234,2,56,0
235,2,57,0
236,2,58,0
237,2,59,0
238,2,60,0
239,2,61,0
240,2,62,1
241,2,63,0
242,2,64,0
243,2,65,0
244,2,66,0
245,2,67,0
246,2,68,0
247,2,69,0
248,2,70,0
249,2,71,0
250,2,72,0
251,2,73,0
252,2,74,0
253,2,75,0
254,2,76,0
255,2,77,0
256,2,78,0
257,2,79,0
258,2,80,0
259,2,81,0
260,2,82,0
261,2,83,0
262,2,84,0
263,2,85,0
264,2,86,0
265,2,87,0
266,2,88,0
267,3,0,0
268,3,1,0
269,3,2,0
270,3,3,0
271,3,4,0
272,3,5,0
273,3,6,0
274,3,7,0
275,3,8,0
276,3,9,0
277,3,10,0
278,3,11,0
279,3,12,0
280,3,13,0
281,3,14,0
282,3,15,0
283,3,16,0
284,3,17,0
285,3,18,0
286,3,19,0
287,3,20,0
288,3,21,0
289,3,22,0
290,3,23,0
291,3,24,0
292,3,25,0
293,3,26,0
294,3,27,0
295,3,28,0
296,3,29,0
297,3,30,0
298,3,31,0
299,3,32,0
300,3,33,0
301,3,34,0
302,3,35,0
303,3,36,0
304,3,37,0
305,3,38,0
306,3,39,0
307,3,40,0
308,3,41,0
309,3,42,0
310,3,43,0
311,3,44,0
312,3,45,0
313,3,46,0
314,3,47,0
315,3,48,0
316,3,49,0
317,3,50,0
318,3,51,0
319,3,52,0
320,3,53,0
321,3,54,0
322,3,55,0
323,3,56,0
324,3,57,0
325,3,58,0
326,3,59,0
327,3,60,0
328,3,61,0
329,3,62,0
330,3,63,0
331,3,64,0
332,3,65,0
333,3,66,0
334,3,67,0
335,3,68,1
336,3,69,0
337,3,70,0
338,3,71,0
339,3,72,0
340,3,73,0
341,3,74,0
342,3,75,0
343,3,76,0
344,3,77,0
345,3,78,0
346,3,79,0
347,3,80,0
348,3,81,0
349,3,82,0
350,3,83,0
351,3,84,0
352,3,85,0
353,3,86,0
354,3,87,0
355,3,88,0
356,4,0,0
357,4,1,0
358,4,2,0
359,4,3,0
360,4,4,0
361,4,5,0
362,4,6,1
363,4,7,0
364,4,8,0
365,4,9,0
366,4,10,0
367,4,11,0
368,4,12,0
369,4,13,0
370,4,14,0
371,4,15,0
372,4,16,1
373,4,17,0
374,4,18,1
375,4,19,0
376,4,20,0
377,4,21,0
378,4,22,0
379,4,23,0
380,4,24,0
381,4,25,0
382,4,26,0
383,4,27,0
384,4,28,1
385,4,29,0
386,4,30,0
387,4,31,1
388,4,32,0
389,4,33,0
390,4,34,0
391,4,35,1
392,4,36,1
393,4,37,0
394,4,38,1
395,4,39,0
396,4,40,0
397,4,41,0
398,4,42,0
399,4,43,0
400,4,44,0
401,4,45,0
402,4,46,0
403,4,47,0
404,4,48,1
405,4,49,1
406,4,50,0
407,4,51,0
408,4,52,0
409,4,53,1
410,4,54,0
411,4,55,0
412,4,56,0
413,4,57,0
414,4,58,0
415,4,59,0
416,4,60,0
417,4,61,0
418,4,62,0
419,4,63,0
420,4,64,1
421,4,65,0
422,4,66,0
423,4,67,0
424,4,68,1
425,4,69,0
426,4,70,0
427,4,71,1
428,4,72,0
429,4,73,0
430,4,74,0
431,4,75,1
432,4,76,0
433,4,77,0
434,4,78,0
435,4,79,0
436,4,80,0
437,4,81,1
438,4,82,0
439,4,83,0
440,4,84,1
441,4,85,0
442,4,86,0
443,4,87,0
444,4,88,0
445,5,0,0
446,5,1,0
447,5,2,0
448,5,3,0
449,5,4,0
450,5,5,0
451,5,6,0
452,5,7,0
453,5,8,0
454,5,9,0
455,5,10,0
456,5,11,0
457,5,12,0
458,5,13,0
459,5,14,0
460,5,15,0
461,5,16,0
462,5,17,0
463,5,18,0
464,5,19,0
465,5,20,0
466,5,21,0
467,5,22,0
468,5,23,0
469,5,24,0
470,5,25,0
471,5,26,0
472,5,27,0
473,5,28,0
474,5,29,0
475,5,30,0
476,5,31,0
477,5,32,0
478,5,33,0
479,5,34,0
480,5,35,0
481,5,36,0
482,5,37,0
483,5,38,0
484,5,39,0
485,5,40,0
486,5,41,0
487,5,42,0
488,5,43,0
489,5,44,0
490,5,45,0
491,5,46,0
492,5,47,0
493,5,48,0
494,5,49,0
495,5,50,0
496,5,51,0
497,5,52,0
498,5,53,0
499,5,54,0
500,5,55,0
501,5,56,0
502,5,57,0
503,5,58,0
504,5,59,0
505,5,60,0
506,5,61,0
507,5,62,0
508,5,63,0
509,5,64,0
510,5,65,0
511,5,66,0
512,5,67,0
513,5,68,1
514,5,69,0
515,5,70,0
516,5,71,0
517,5,72,0
518,5,73,0
519,5,74,0
520,5,75,0
521,5,76,0
522,5,77,0
523,5,78,0
524,5,79,0
525,5,80,0
526,5,81,0
527,5,82,0
528,5,83,0
529,5,84,0
530,5,85,0
531,5,86,0
532,5,87,0
533,5,88,0
534,6,0,0
535,6,1,0
536,6,2,0
537,6,3,0
538,6,4,0
539,6,5,0
540,6,6,1
541,6,7,0
542,6,8,0
543,6,9,0
544,6,10,0
545,6,11,0
546,6,12,0
547,6,13,0
548,6,14,0
549,6,15,0
550,6,16,0
551,6,17,0
552,6,18,0
553,6,19,0
554,6,20,0
555,6,21,1
556,6,22,1
557,6,23,0
558,6,24,0
559,6,25,0
560,6,26,1
561,6,27,0
562,6,28,0
563,6,29,1
564,6,30,0
565,6,31,0
566,6,32,0
567,6,33,0
568,6,34,0
569,6,35,0
570,6,36,0
571,6,37,0
572,6,38,1
573,6,39,0
574,6,40,0
575,6,41,0
576,6,42,0
577,6,43,0
578,6,44,0
579,6,45,0
580,6,46,0
581,6,47,0
582,6,48,0
583,6,49,0
584,6,50,0
585,6,51,0
586,6,52,0
587,6,53,1
588,6,54,0
589,6,55,0
590,6,56,1
591,6,57,0
592,6,58,0
593,6,59,0
594,6,60,0
595,6,61,0
596,6,62,0
597,6,63,0
598,6,64,0
599,6,65,0
600,6,66,0
601,6,67,0
602,6,68,0
603,6,69,0
604,6,70,0
605,6,71,0
606,6,72,0
607,6,73,0
608,6,74,0
609,6,75,0
610,6,76,0
611,6,77,0
612,6,78,0
613,6,79,0
614,6,80,0
615,6,81,0
616,6,82,0
617,6,83,0
618,6,84,1
619,6,85,0
620,6,86,0
621,6,87,0
622,6,88,0
623,7,0,0
624,7,1,1
625,7,2,0
626,7,3,0
627,7,4,0
628,7,5,0
629,7,6,0
630,7,7,0
631,7,8,0
632,7,9,0
633,7,10,0
634,7,11,0
635,7,12,0
636,7,13,0
637,7,14,0
638,7,15,0
639,7,16,0
640,7,17,0
641,7,18,0
642,7,19,0
643,7,20,0
644,7,21,1
645,7,22,0
646,7,23,0
647,7,24,0
648,7,25,0
649,7,26,1
650,7,27,0
651,7,28,0
652,7,29,1
653,7,30,0
654,7,31,0
655,7,32,0
656,7,33,0
657,7,34,0
658,7,35,0
659,7,36,0
660,7,37,0
661,7,38,1
662,7,39,0
663,7,40,0
664,7,41,0
665,7,42,0
666,7,43,0
667,7,44,0
668,7,45,0
669,7,46,0
670,7,47,0
671,7,48,0
672,7,49,0
673,7,50,0
674,7,51,0
675,7,52,0
676,7,53,0
677,7,54,0
678,7,55,0
679,7,56,1
680,7,57,0
681,7,58,0
682,7,59,0
683,7,60,0
684,7,61,0
685,7,62,0
686,7,63,0
687,7,64,0
688,7,65,0
689,7,66,0
690,7,67,0
691,7,68,0
692,7,69,0
693,7,70,0
694,7,71,0
695,7,72,0
696,7,73,0
697,7,74,0
698,7,75,0
699,7,76,0
700,7,77,0
701,7,78,0
702,7,79,0
703,7,80,0
704,7,81,0
705,7,82,0
706,7,83,0
707,7,84,1
708,7,85,0
709,7,86,0
710,7,87,0
711,7,88,0
712,8,0,0
713,8,1,0
714,8,2,0
715,8,3,0
716,8,4,0
717,8,5,0
718,8,6,0
719,8,7,0
720,8,8,0
721,8,9,0
722,8,10,0
723,8,11,0
724,8,12,0
725,8,13,0
726,8,14,0
727,8,15,0
728,8,16,0
729,8,17,0
730,8,18,0
731,8,19,0
732,8,20,0
733,8,21,0
734,8,22,0
735,8,23,0
736,8,24,0
737,8,25,0
738,8,26,0
739,8,27,0
740,8,28,0
741,8,29,0
742,8,30,0
743,8,31,0
744,8,32,0
745,8,33,0
746,8,34,0
747,8,35,0
748,8,36,0
749,8,37,0
750,8,38,0
751,8,39,0
752,8,40,0
753,8,41,0
754,8,42,0
755,8,43,0
756,8,44,0
757,8,45,0
758,8,46,0
759,8,47,0
760,8,48,0
761,8,49,0
762,8,50,0
763,8,51,0
764,8,52,0
765,8,53,0
766,8,54,0
767,8,55,0
768,8,56,0
769,8,57,0
770,8,58,0
771,8,59,0
772,8,60,0
773,8,61,0
774,8,62,0
775,8,63,0
776,8,64,0
777,8,65,0
778,8,66,0
779,8,67,0
780,8,68,1
781,8,69,0
782,8,70,0
783,8,71,0
784,8,72,0
785,8,73,0
786,8,74,0
787,8,75,0
788,8,76,0
789,8,77,0
790,8,78,0
791,8,79,0
792,8,80,0
793,8,81,0
794,8,82,0
795,8,83,0
796,8,84,1
797,8,85,0
798,8,86,0
799,8,87,0
800,8,88,0
801,9,0,0
802,9,1,0
803,9,2,0
804,9,3,0
805,9,4,0
806,9,5,0
807,9,6,0
808,9,7,0
809,9,8,0
810,9,9,0
811,9,10,0
812,9,11,0
813,9,12,0
814,9,13,0
815,9,14,0
816,9,15,0
817,9,16,0
818,9,17,0
819,9,18,0
820,9,19,0
821,9,20,0
822,9,21,0
823,9,22,0
824,9,23,0
825,9,24,0
826,9,25,0
827,9,26,0
828,9,27,0
829,9,28,0
830,9,29,0
831,9,30,0
832,9,31,0
833,9,32,0
834,9,33,0
835,9,34,0
836,9,35,0
837,9,36,0
838,9,37,0
839,9,38,0
840,9,39,0
841,9,40,0
842,9,41,0
843,9,42,0
844,9,43,0
845,9,44,0
846,9,45,0
847,9,46,0
848,9,47,0
849,9,48,0
850,9,49,0
851,9,50,0
852,9,51,0
853,9,52,0
854,9,53,0
855,9,54,0
856,9,55,0
857,9,56,0
858,9,57,0
859,9,58,0
860,9,59,0
861,9,60,0
862,9,61,0
863,9,62,0
864,9,63,0
865,9,64,0
866,9,65,0
867,9,66,0
868,9,67,0
869,9,68,1
870,9,69,0
871,9,70,0
872,9,71,0
873,9,72,0
874,9,73,0
875,9,74,0
876,9,75,0
877,9,76,0
