Name,Smile,AKTIP,BCL_XL,BCL_XL_SS,ENE_A9,EWSR1,FGFR,Glutamine_RS,HBV,HIV_SL3,KLF6_mut,KLF6_wt,MALAT1,NRAS,PreQ1,Pre_miR_17,Pre_miR_21,Pre_miR_31,Pro_mut,Pro_wt,RRE2B_MeA,RRE2B,SAM_ll,TPP,TERRA,ZTP,Zika3PrimeUTR,Zika_NS5
0054-0090,CC(c1ccc(c(c1)N)[Br])=O,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,1.0,0.0,0
0096-0280,C(CO)NC(C1=Cc2ccccc2OC1=O)=O,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0,0.0,0.0,0.0,0
0109-0002,c1ccc(cc1)c1nc2cc(ccc2o1)N,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0,0.0,0.0,0.0,0
0109-0045,c1ccc2c(c1)nc(c1ccc(cc1)N)o2,0,0,0.0,0.0,0,0,1.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0,0.0,0.0,0.0,0
0133-0036,Cc1nc2ccc(CCO)cc2s1,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0,0.0,1.0,0.0,0
0167-0173,CC(C)(C)NCc1ccc(cc1)[Cl],0,0,0.0,0.0,0,0,1.0,0,1,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
0242-0561,C(CO)N(CCOCc1ccccc1)Cc1ccccc1,0,0,0.0,0.0,0,0,0.0,0,0,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
0325-0348,c1ccc(c(c1)N)I,0,0,0.0,0.0,0,0,1.0,0,1,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0,0.0,0.0,0.0,0
0325-0381,Cc1cc(ccc1N)I,0,0,0.0,0.0,0,0,0.0,1,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
0342-0285,Cc1nc(CCN)n[nH]1,1,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
0345-0104,c1ccc(cc1)c1nc2ccccc2c2nc(N)nn12,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0,0.0,0.0,0.0,0
0357-0017,Cc1c(cc(c(c1[Br])N)[Br])[Br],0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0,0.0,0.0,0.0,0
0375-0603,c1ccc2c(c1)nc(Sc1ccc(cc1)N)s2,0,0,1.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0,0.0,1.0,0.0,0
0375-0604,c1ccc2c(c1)nc(Sc1ccc(cc1[Cl])N)s2,0,0,1.0,0.0,0,0,1.0,0,1,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,1.0,0.0,0
0422-0091,c1cc2c(cc(c(c2nc1)N)[Br])[Br],0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0,0.0,1.0,0.0,0
