,rna,mol,label
0,0,0,0
1,1,0,0
2,2,0,0.0
3,3,0,0.0
4,4,0,0
5,5,0,0
6,6,0,0.0
7,7,0,0
8,8,0,0
9,9,0,0
10,10,0,0
11,11,0,0
12,12,0,0.0
13,13,0,0
14,14,0,0.0
15,15,0,0.0
16,16,0,0.0
17,17,0,0.0
18,18,0,0.0
19,19,0,0
20,20,0,0.0
21,21,0,0
22,22,0,0.0
23,23,0,1.0
24,24,0,0.0
25,25,0,0
26,0,1,0
27,1,1,0
28,2,1,0.0
29,3,1,0.0
30,4,1,0
31,5,1,0
32,6,1,0.0
33,7,1,0
34,8,1,0
35,9,1,0
36,10,1,0
37,11,1,0
38,12,1,0.0
39,13,1,0
40,14,1,0.0
41,15,1,0.0
42,16,1,0.0
43,17,1,0.0
44,18,1,0.0
45,19,1,1
46,20,1,0.0
47,21,1,0
48,22,1,0.0
49,23,1,0.0
50,24,1,0.0
51,25,1,0
52,0,2,0
53,1,2,0
54,2,2,0.0
55,3,2,0.0
56,4,2,0
57,5,2,0
58,6,2,1.0
59,7,2,0
60,8,2,0
61,9,2,0
62,10,2,0
63,11,2,0
64,12,2,0.0
65,13,2,0
66,14,2,0.0
67,15,2,0.0
68,16,2,0.0
69,17,2,0.0
70,18,2,0.0
71,19,2,1
72,20,2,0.0
73,21,2,0
74,22,2,0.0
75,23,2,0.0
76,24,2,0.0
77,25,2,0
78,0,3,0
79,1,3,0
80,2,3,0.0
81,3,3,0.0
82,4,3,0
83,5,3,0
84,6,3,0.0
85,7,3,0
86,8,3,0
87,9,3,0
88,10,3,0
89,11,3,0
90,12,3,0.0
91,13,3,0
92,14,3,0.0
93,15,3,0.0
94,16,3,0.0
95,17,3,0.0
96,18,3,0.0
97,19,3,1
98,20,3,0.0
99,21,3,0
100,22,3,0.0
101,23,3,1.0
102,24,3,0.0
103,25,3,0
104,0,4,0
105,1,4,0
106,2,4,0.0
107,3,4,0.0
108,4,4,0
109,5,4,0
110,6,4,1.0
111,7,4,0
112,8,4,1
113,9,4,0
114,10,4,0
115,11,4,0
116,12,4,0.0
117,13,4,0
118,14,4,0.0
119,15,4,0.0
120,16,4,0.0
121,17,4,0.0
122,18,4,0.0
123,19,4,0
124,20,4,0.0
125,21,4,0
126,22,4,0.0
127,23,4,0.0
128,24,4,0.0
129,25,4,0
130,0,5,0
131,1,5,0
132,2,5,0.0
133,3,5,0.0
134,4,5,0
135,5,5,0
136,6,5,0.0
137,7,5,0
138,8,5,0
139,9,5,1
140,10,5,0
141,11,5,0
142,12,5,0.0
143,13,5,0
144,14,5,0.0
145,15,5,0.0
146,16,5,0.0
147,17,5,0.0
148,18,5,0.0
149,19,5,0
150,20,5,0.0
151,21,5,0
152,22,5,0.0
153,23,5,0.0
154,24,5,0.0
155,25,5,0
156,0,6,0
157,1,6,0
158,2,6,0.0
159,3,6,0.0
160,4,6,0
161,5,6,0
162,6,6,1.0
163,7,6,0
164,8,6,1
165,9,6,0
166,10,6,0
167,11,6,0
168,12,6,0.0
169,13,6,0
170,14,6,0.0
171,15,6,0.0
172,16,6,0.0
173,17,6,0.0
174,18,6,0.0
175,19,6,1
176,20,6,0.0
177,21,6,0
178,22,6,0.0
179,23,6,0.0
180,24,6,0.0
181,25,6,0
182,0,7,0
183,1,7,0
184,2,7,0.0
185,3,7,0.0
186,4,7,0
187,5,7,0
188,6,7,0.0
189,7,7,1
190,8,7,0
191,9,7,0
192,10,7,0
193,11,7,0
194,12,7,0.0
195,13,7,0
196,14,7,0.0
197,15,7,0.0
198,16,7,0.0
199,17,7,0.0
200,18,7,0.0
201,19,7,0
202,20,7,0.0
203,21,7,0
204,22,7,0.0
205,23,7,0.0
206,24,7,0.0
207,25,7,0
208,0,8,1
209,1,8,0
210,2,8,0.0
211,3,8,0.0
212,4,8,0
213,5,8,0
214,6,8,0.0
215,7,8,0
216,8,8,0
217,9,8,0
218,10,8,0
219,11,8,0
220,12,8,0.0
221,13,8,0
222,14,8,0.0
223,15,8,0.0
224,16,8,0.0
225,17,8,0.0
226,18,8,0.0
227,19,8,0
228,20,8,0.0
229,21,8,0
230,22,8,0.0
231,23,8,0.0
232,24,8,0.0
233,25,8,0
234,0,9,0
235,1,9,0
236,2,9,0.0
237,3,9,0.0
238,4,9,0
239,5,9,0
240,6,9,0.0
241,7,9,0
242,8,9,0
243,9,9,0
244,10,9,0
245,11,9,0
246,12,9,0.0
247,13,9,0
248,14,9,0.0
249,15,9,0.0
250,16,9,0.0
251,17,9,0.0
252,18,9,0.0
253,19,9,1
254,20,9,0.0
255,21,9,0
256,22,9,0.0
257,23,9,0.0
258,24,9,0.0
259,25,9,0
260,0,10,0
261,1,10,0
262,2,10,0.0
263,3,10,0.0
264,4,10,0
265,5,10,0
266,6,10,0.0
267,7,10,0
268,8,10,0
269,9,10,0
270,10,10,0
271,11,10,0
272,12,10,0.0
273,13,10,0
274,14,10,0.0
275,15,10,0.0
276,16,10,0.0
277,17,10,0.0
278,18,10,0.0
279,19,10,1
280,20,10,0.0
281,21,10,0
282,22,10,0.0
283,23,10,0.0
284,24,10,0.0
285,25,10,0
286,0,11,0
287,1,11,0
288,2,11,1.0
289,3,11,0.0
290,4,11,0
291,5,11,0
292,6,11,0.0
293,7,11,0
294,8,11,0
295,9,11,0
296,10,11,0
297,11,11,0
298,12,11,0.0
299,13,11,0
300,14,11,0.0
301,15,11,0.0
302,16,11,0.0
303,17,11,0.0
304,18,11,0.0
305,19,11,0
306,20,11,0.0
307,21,11,0
308,22,11,0.0
309,23,11,1.0
310,24,11,0.0
311,25,11,0
312,0,12,0
313,1,12,0
314,2,12,1.0
315,3,12,0.0
316,4,12,0
317,5,12,0
318,6,12,1.0
319,7,12,0
320,8,12,1
321,9,12,0
322,10,12,0
323,11,12,0
324,12,12,0.0
325,13,12,0
326,14,12,0.0
327,15,12,0.0
328,16,12,0.0
329,17,12,0.0
330,18,12,0.0
331,19,12,0
332,20,12,0.0
333,21,12,0
334,22,12,0.0
335,23,12,1.0
336,24,12,0.0
337,25,12,0
338,0,13,0
339,1,13,0
340,2,13,0.0
341,3,13,0.0
342,4,13,0
343,5,13,0
344,6,13,0.0
345,7,13,0
346,8,13,0
347,9,13,0
348,10,13,0
349,11,13,0
350,12,13,0.0
351,13,13,0
352,14,13,0.0
353,15,13,0.0
354,16,13,0.0
355,17,13,0.0
356,18,13,0.0
357,19,13,0
358,20,13,0.0
359,21,13,0
360,22,13,0.0
361,23,13,1.0
362,24,13,0.0
363,25,13,0
364,0,14,0
365,1,14,0
366,2,14,0.0
367,3,14,0.0
368,4,14,0
369,5,14,0
370,6,14,0.0
371,7,14,0
372,8,14,1
373,9,14,0
374,10,14,0
375,11,14,0
376,12,14,0.0
377,13,14,0
378,14,14,0.0
379,15,14,0.0
380,16,14,0.0
381,17,14,0.0
382,18,14,0.0
383,19,14,0
384,20,14,0.0
385,21,14,0
386,22,14,0.0
387,23,14,0.0
388,24,14,0.0
389,25,14,0
390,0,15,0
391,1,15,0
392,2,15,0.0
393,3,15,0.0
394,4,15,0
395,5,15,0
396,6,15,0.0
397,7,15,0
398,8,15,0
399,9,15,0
400,10,15,0
401,11,15,0
402,12,15,0.0
403,13,15,0
404,14,15,0.0
405,15,15,0.0
406,16,15,0.0
407,17,15,0.0
408,18,15,0.0
409,19,15,1
410,20,15,0.0
411,21,15,0
412,22,15,0.0
413,23,15,0.0
414,24,15,0.0
415,25,15,0
416,0,16,0
417,1,16,0
418,2,16,0.0
419,3,16,0.0
420,4,16,0
421,5,16,0
422,6,16,0.0
423,7,16,0
424,8,16,0
425,9,16,0
426,10,16,0
427,11,16,0
428,12,16,0.0
429,13,16,0
430,14,16,0.0
431,15,16,0.0
432,16,16,0.0
433,17,16,0.0
434,18,16,0.0
435,19,16,1
436,20,16,0.0
437,21,16,0
438,22,16,0.0
439,23,16,0.0
440,24,16,0.0
441,25,16,0
442,0,17,0
443,1,17,0
444,2,17,0.0
445,3,17,0.0
446,4,17,0
447,5,17,1
448,6,17,0.0
449,7,17,0
450,8,17,0
451,9,17,0
452,10,17,0
453,11,17,0
454,12,17,0.0
455,13,17,0
456,14,17,0.0
457,15,17,0.0
458,16,17,0.0
459,17,17,0.0
460,18,17,0.0
461,19,17,0
462,20,17,0.0
463,21,17,0
464,22,17,0.0
465,23,17,0.0
466,24,17,0.0
467,25,17,0
468,0,18,0
469,1,18,0
470,2,18,0.0
471,3,18,0.0
472,4,18,0
473,5,18,0
474,6,18,0.0
475,7,18,0
476,8,18,0
477,9,18,0
478,10,18,0
479,11,18,0
480,12,18,0.0
481,13,18,0
482,14,18,0.0
483,15,18,0.0
484,16,18,1.0
485,17,18,0.0
486,18,18,0.0
487,19,18,0
488,20,18,0.0
489,21,18,0
490,22,18,0.0
491,23,18,0.0
492,24,18,0.0
493,25,18,0
494,0,19,0
495,1,19,0
496,2,19,0.0
497,3,19,0.0
498,4,19,0
499,5,19,0
500,6,19,1.0
501,7,19,0
502,8,19,1
503,9,19,0
504,10,19,0
505,11,19,0
506,12,19,0.0
507,13,19,0
508,14,19,0.0
509,15,19,0.0
510,16,19,0.0
511,17,19,0.0
512,18,19,0.0
513,19,19,0
514,20,19,1.0
515,21,19,0
516,22,19,0.0
517,23,19,0.0
518,24,19,0.0
519,25,19,0
520,0,20,0
521,1,20,0
522,2,20,0.0
523,3,20,1.0
524,4,20,0
525,5,20,0
526,6,20,1.0
527,7,20,0
528,8,20,0
529,9,20,0
530,10,20,0
531,11,20,0
532,12,20,0.0
533,13,20,0
534,14,20,0.0
535,15,20,0.0
536,16,20,0.0
537,17,20,0.0
538,18,20,0.0
539,19,20,0
540,20,20,0.0
541,21,20,0
542,22,20,0.0
543,23,20,0.0
544,24,20,0.0
545,25,20,0
546,0,21,0
547,1,21,0
548,2,21,0.0
549,3,21,0.0
550,4,21,0
551,5,21,0
552,6,21,0.0
553,7,21,0
554,8,21,1
555,9,21,0
556,10,21,0
557,11,21,0
558,12,21,0.0
559,13,21,0
560,14,21,0.0
561,15,21,0.0
562,16,21,0.0
563,17,21,0.0
564,18,21,0.0
565,19,21,0
566,20,21,0.0
567,21,21,0
568,22,21,0.0
569,23,21,0.0
570,24,21,0.0
571,25,21,0
572,0,22,0
573,1,22,0
574,2,22,0.0
575,3,22,0.0
576,4,22,0
577,5,22,0
578,6,22,0.0
579,7,22,0
580,8,22,1
581,9,22,0
582,10,22,0
583,11,22,0
584,12,22,0.0
585,13,22,0
586,14,22,0.0
587,15,22,0.0
588,16,22,0.0
589,17,22,0.0
590,18,22,0.0
591,19,22,0
592,20,22,0.0
593,21,22,0
594,22,22,0.0
595,23,22,0.0
596,24,22,0.0
597,25,22,0
598,0,23,0
599,1,23,0
600,2,23,0.0
601,3,23,0.0
602,4,23,0
603,5,23,0
604,6,23,1.0
605,7,23,0
606,8,23,1
607,9,23,0
608,10,23,0
