similarity,smiles
1.0,NC(=O)c1ncn([C@@H]2O[C@@H](COP(=O)(O)O)[C@H](O)[C@H]2O)c1N
1.0,NC(=O)c1ncn([C@@H]2O[C@@H](COP(=O)(O)O)[C@@H](O)[C@@H]2O)c1NC=O
1.0,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1NC=O
1.0,NC(=O)c1ncn([C@H]2O[C@@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1N
1.0,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)(O)O)[C@H](O)[C@@H]2O)c1N
1.0,NC(=O)c1ncn([C@@H]2O[C@H](CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c1N
1.0,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1N
1.0,NC(=O)c1ncn([C@H]2O[C@@H](COP(=O)(O)O)[C@@H](O)[C@@H]2O)c1N
1.0,NC(=O)c1ncn([C@@H]2O[C@@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1NC=O
1.0,NC(=O)c1ncn([C@H]2O[C@@H](COP(=O)(O)O)[C@@H](O)[C@@H]2O)c1NC=O
1.0,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]2O)c1N
1.0,NC(=O)c1ncn([C@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1N
1.0,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)(O)O)[C@H](O)[C@H]2O)c1N
1.0,NC(=O)c1ncn([C@@H]2O[C@@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1N
1.0,NC(=O)c1ncn([C@@H]2O[C@@H](COP(=O)(O)O)[C@@H](O)[C@@H]2O)c1N
1.0,NC(=O)c1ncn([C@H]2O[C@@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1NC=O
0.9848484848484849,Nc1c(C(=O)O)ncn1[C@H]1O[C@@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
0.9848484848484849,Nc1c(C(=O)O)ncn1[C@@H]1O[C@@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O
0.9848484848484849,Nc1c(C(=O)O)ncn1[C@H]1O[C@@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O
0.9848484848484849,Nc1c(C(=O)O)ncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
0.9848484848484849,Nc1c(C(=O)O)ncn1[C@@H]1O[C@@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
0.9696969696969697,O=CNc1c(C(=O)O)ncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
0.9558823529411765,Nc1c(C(=O)N[C@@H](CC(=O)O)C(=O)O)ncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
0.9558823529411765,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)(O)O)[C@H](O)[C@@H]2O)c1/N=C/N[C@@H]1O[C@H](COP(=O)(O)O)[C@H](O)[C@@H]1O
0.9558823529411765,NC(=O)c1ncn([C@@H]2O[C@@H](COP(=O)(O)O)[C@@H](O)[C@@H]2O)c1/N=C/N[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O
0.9558823529411765,NC(=O)c1ncn([C@@H]2O[C@@H](COP(=O)(O)O)[C@@H](O)[C@@H]2O)c1/N=C/N[C@@H]1O[C@@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O
0.9558823529411765,Nc1c(C(=O)N[C@@H](CC(=O)O)C(=O)O)ncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O
0.9558823529411765,NC(=O)c1ncn([C@H]2O[C@@H](COP(=O)(O)O)[C@@H](O)[C@@H]2O)c1/N=C/N[C@H]1O[C@@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
0.9558823529411765,NC(=O)c1ncn([C@H]2O[C@@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1/N=C\N[C@H]1O[C@@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
0.9558823529411765,NC(=O)c1ncn([C@@H]2O[C@@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1/N=C\N[C@H]1O[C@@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
0.9558823529411765,NC(=O)c1ncn([C@@H]2O[C@@H](COP(=O)(O)O)[C@@H](O)[C@@H]2O)c1/N=C/N[C@H]1O[C@@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O
