,0
C(CO)Nc1cc(c2ccc(c(c2)[Cl])O)c2cc[nH]c2n1,"['COc1cc2c(cc1OCc1ccccc1)CCC2=O', 'C[N+](C)(C)[C@@H](Cc1cnc2cccc[c-]12)C(=O)O', 'Cc1ccccc1OC[C@@H](CO[C@H](O)C(Cl)(Cl)Cl)O[C@H](O)C(Cl)(Cl)Cl', 'OC[C@@H]1O[C@@H](OC[C@H](O)CO)[C@@H](O)[C@@H](O)[C@@H]1O', 'CC[C@@H](CC=O)CC[C@@H]1/C=C/C(=O)[C@]2(Cc3ccc(O)c(OC)c3)CCC[C@H]2CC#C/N=C(/NC)Nc2cc(cc(O[C@]3(CNC)CC[C@H](C[C@H](O)OC4CCCC4)C3)c2O)C12CCCC2', 'Cc1cc(N)nc(C[C@H]2CNC[C@H]2OCCC/C=C\\c2cccc(F)c2)c1', 'CCCCCCCCCCCCCC[C@H](O)[C@H](O)[C@H](N)CO', 'NC(=O)[C@@H]1CCCN1CC[C@H]1CN(S(=O)(=O)c2ccccc2)CC[C@H]1CC(=O)O', 'c1cc(-c2noc([C@@H]3CCCN3Cc3ccc4c(c3)OCO4)n2)cc(N2CCOCC2)n1', 'CCCCCCCCCC/C=C/CC/C=C/[C@H](O)[C@@H](CO[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O)NC(=O)[C@H](O)CCCCCCCCCCCC', 'CC/C=C\\C/C=C\\C/C=C\\C/C=C\\CCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCC/C=C\\CCCCCCCC)OC(=O)CCCCCCCCC/C=C\\CCCCCC', 'CC[C@@H](C)[C@@H](NC(=O)[C@@H](CO)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](C)NC(=O)[C@H](N)CO)C(=O)N1CCC[C@@H]1C(=O)N[C@H](C)C(=O)O', 'O=C1CCCO1', 'O=C(NC[C@H]1C[C@@H]2CCN1C[C@@H]2CN1CCOCC1)Nc1ccccc1', 'CN1C[C@@H]2[C@@H](Cc3ccc(Cl)cc3[C@H]2c2ccccc2)C1']"
CCc1cnc(N)nc1NCCC(C)N(C)CC,"['C=C1[C@@H]2C[C@]3([C@H](C[C@@H]2O)[C@@]24[C@@H](O)CC[C@@]5(C)CN(CC)[C@@H]2[C@@H]3C[C@@H]54)[C@@H]1O', 'COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CCCNC(=N)N)[C@H](C)O', 'CCCCCCCC(=O)OC[C@@H](O)[C@@H](OC)[C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O', 'COc1cc(-c2c(C)cc(O)cc2O[C@@H]2O[C@@H](CO)[C@@H](O)[C@H](O)[C@H]2O)oc(=O)c1', 'C=C(C)[C@H]1CC[C@H](C)[C@H](O)C1', 'COc1cc(C)c(C(=O)O[C@@H]2C[C@]3(C)[C@@H]2C(C=O)=C[C@@]2(O)CC(C)(C)C[C@@H]23)c(O)c1', 'Cc1c(O)cc2c(c1O)C(=O)[C@@]1(Cl)C[C@@H](Cl)C(C)(C)O[C@]1(C[C@@H]1C(C)(C)[C@H](Cl)CC[C@@]1(C)O)C2=O', 'O=C(c1ccc(Cl)cc1)N1C[C@@H]2COCCN2C2(C1)CN(C(=O)c1ccc(C(F)(F)F)cc1)C2', 'CC(=O)OC[C@@H]1O[C@H](Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)[C@@H](OC(=O)/C=C\\c2ccc(O)cc2)[C@H](OC(C)=O)[C@H]1OC(=O)/C=C/c1ccc(O)cc1', 'COc1ccc2c(Cc3c4ccccc4cc4ccccc34)cncc2c1O', 'CC(=O)O[C@H]1CC[C@]2(C)[C@@H]3CC[C@]4(C)[C@H]([C@H](C)CCCC(C)C)CC[C@@H]4[C@H]3C/C(=N\\O)[C@]2(O)C1', 'C=C1CC[C@@H]2C(C)(C)CCC[C@@]2(C)[C@@H]1C[C@]12O[C@@H]1[C@H](O)C(COC(=O)C[C@](C)(O)CC(=O)O)=CC2=O', 'C=C1CC[C@@H](O)[C@]2(C)CC[C@@H](C(C)C)[C@H](O)[C@H]12', 'CCCCC/C=C\\C/C=C\\C/C=C\\C/C=C\\CCCCCC(=O)OC[C@@H](COCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC', 'CC/C=C\\C/C=C\\C/C=C\\C/C=C\\CCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCC/C=C\\C/C=C\\CCCCC)OC(=O)CCCC/C=C\\C/C=C\\C/C=C\\C/C=C\\CC']"
CN(C)[C@@H]1C[C@@H](CO)N(C1)C(c1cc2c(c3ccccc3)nn(C)c2s1)=O,"['CC1(C)CCC[C@@]2(C)[C@H]1CC[C@@]13C[C@@H](CC[C@@H]12)[C@](C)(O)C3', 'CC(C)(O)C(=O)N[C@H]1CC2(CCCCC2)Oc2nc(-c3ccccc3Cl)c(-c3ccc(Cl)cc3)cc21', 'O=c1[nH]c2c(=O)[nH]c(=O)n([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1', 'CC/C=C\\C/C=C\\C/C=C\\C/C=C\\C/C=C\\CCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCC)CO[P@@](=O)(O)OCCN', 'COc1ccc(-c2c(O)c3c(OC)c4c(cc3oc2=O)O[C@H](C(C)C)[C@@H]4OC)cc1OC', 'Cc1c(C(=O)NCCCO)cnn1-c1nc(-c2cccc(C(F)(F)F)c2)cs1', 'O=C(O)CCCCC/C=C\\C[C@H](O)/C=C/C=C/C=C\\[C@H](O)CCCC(=O)O', 'CC(=O)OC[C@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]2Oc2ccc([N+](=O)[O-])cc2)[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O', 'CC1=C2C(=CC1)[C@](C)(O)CC[C@@H]1[C@H](C)C(=O)O[C@@H]21', 'O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2O)c(Cl)c1', 'CC/C=C\\C/C=C\\C/C=C\\C/C=C\\C/C=C\\CCCCCC(=O)O[C@H](COC(=O)CCC/C=C\\C/C=C\\C/C=C\\C/C=C\\CCCCC)COC(=O)CCCCCCCCCCCCCCC', 'N=C(N)NCCCC[C@@H]1NC(=O)CCSSC[C@@H](C(N)=O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O', 'C[C@@H](C/C=C/C(C)(C)O)CCO[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O', 'Cc1c(O)c(C)c2occ(-c3ccccc3O)c(=O)c2c1O', 'O=C(c1ccncc1)N1C[C@@H]2OCC(=O)N(CC3CCCCC3)[C@@H]2C1']"
C(C(c1ccc(cc1)N)=O)C1(C(N(Cc2ccc(cc2)[Cl])c2ccccc12)=O)O,"['COC(=O)[C@@H]1C[C@H](O)C[C@@H]2[C@@H]1[C@H]1C[C@@]3(O[C@@H](c4ccoc4)C[C@]23C)C(=O)O1', 'CC(C)CN1C(=O)CO[C@H](c2ccc(NS(=O)(=O)Cc3ccccc3)cc2)[C@H]1CO', 'COc1cc(C(=O)N[C@@H](C(=O)OCCC(C)C)c2ccccc2)cc(OC)c1OC', 'CCCCCCCC/C=C\\C/C=C\\C/C=C\\CCCC(=O)OC[C@H](COCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC/C=C\\CCCCCCCC', 'O=S(=O)(O)Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314', 'CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCCCC4)ccc3OCC)nc12', 'COc1ccc2ccc3c4c(ccc1c24)=C[C@H]1O[C@H]31', 'CNCCOc1cc(CC/C=C/C(=O)CCc2ccc(O)c(OC)c2)cc(CNC)c1O', 'COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(C)cc2c1C(=O)c1c(O)cccc1C2=O', 'CCCCCCCC/C=C\\CCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCC', 'CCOC(=O)[C@H]1C[C@]23C=C[C@]1(OC)[C@H]1Oc4c(OC)ccc5c4[C@@]12CCN(C)[C@@H]3C5', 'C=C[C@@]1(C)CC(=O)[C@@]2(O)[C@](C)(O1)[C@@H](OC(C)=O)[C@@H](OC(=O)CCC(C)C)[C@H]1C(C)(C)CC[C@H](O)[C@@]12C', 'O=P(O)(O)O[C@H]1C[C@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)C1', 'CC/C=C\\C/C=C\\C/C=C\\C/C=C\\CCCCC(=O)O[C@H](COC(=O)CCCCCCCCC/C=C\\CCCCCC)COC(=O)CCCCCCCCC/C=C\\CCCCCCCC', 'CCCCC/C=C\\C/C=C\\C/C=C\\C/C=C\\CCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\\CCCCCCCC']"
CCOC(C(CSC1CC(N(C1=O)c1ccc(c(c1)[Cl])[Cl])=O)N)=O,"['c1ccc(CN2CCN(c3cccc4[nH]cnc34)CC2)cc1', 'O=C(O)c1cccc(CN2CC3(CN(CCc4ccccc4)C[C@@H]4C[C@@H](O)CN43)C2)c1', 'CC(=O)N[C@H]1[C@H](OC[C@H]2O[C@@H](O)[C@H](NC(C)=O)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3NC(C)=O)[C@H]2O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H]1O', 'C=C(C)[C@H]1CC[C@@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@]3(C)CC[C@@H]3C(C)(C)[C@@H](OC(=O)/C=C/c5ccc(O)c(O)c5)[C@@H](O)C[C@@]34C)[C@@H]12', 'OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](OCc3ccccc3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O', 'O=C(O)c1ccc(-c2c[nH]c3ncc(-c4ccccc4)cc23)cc1C1CCCC1', 'Cc1cn([C@H]2C[C@H](OP(=O)(O)O)[C@@H](CO)O2)c(=O)[nH]c1=O', 'O=C(O)/C=C/CN/C=C1\\N=C(c2ccccc2)OC1=O', 'CN(C)CCN(C)[C@@H]1[C@H](O)[C@H](CO)O[C@@H]1CNC(=O)Nc1ccccc1', 'CCCCc1ccc(NS(=O)(=O)c2ccccc2)c(C(=O)O)c1', 'C=C1C[C@@H](OC(C)=O)[C@@H](OC(=O)c2cccnc2)C(C)(C)/C=C/[C@H](C)C(=O)[C@@]2(O)C[C@](C)(O)[C@H](OC(=O)c3ccccc3)[C@@H]2[C@H]1OC(C)=O', 'C[C@@H](N)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O', 'CCCCOCCOc1ccc(-c2ccc3c(c2)C=C(C(=O)Nc2ccc([S@@](=O)Cc4cncn4CCC)cc2)CCCN3CC(C)C)cc1', 'CO/C=C/[C@@H](N)C(=O)O', 'CS(=O)(=O)Nc1ccc([C@@H](O)[C@H]2COCC(=O)N2Cc2ccccc2F)cc1']"
C(CCNC(CSc1nnc(N)s1)=O)Cc1ccccn1,"['CC(=O)OCCc1c(C)cc2c(c1C)C(=O)[C@@H](C)[C@@H]2O', 'C=C(CCO)C(=O)OC[C@H]1O[C@H](OC/C=C/c2cc(OC)c3c(c2)[C@@H](CO)[C@H](c2ccc(O)c(OC)c2)O3)[C@H](O)[C@H](O)[C@H]1O', 'C[C@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c4c(cc5ccc(=O)oc35)C[C@@H](C(C)(C)O)O4)[C@@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@@H](O)[C@H]1O', 'CCCCC/C=C\\C/C=C\\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCC(C)C', 'CCCCC/C=C\\C/C=C\\C/C=C\\CCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC/C=C\\CCCCCCCC', 'Oc1ccc2c(c1)Sc1ccccc1C(N1CCNCC1)=N2', 'CC(=O)O[C@H]1C[C@@H](O)CC[C@]2(C#C[C@@H]3CCC[C@H]4C[C@@H](CCN4)Oc4cc(ccc4O)C[C@H]13)CNC(=N)NCN1C[C@H]3C[C@@H](C1)CN(C3)CC21CCCC1', 'N[C@@H](Cc1cncn1[C@H](c1ccc(O)cc1)[C@H](N)C(=O)O)C(=O)O', 'Cc1nccc(C[C@@H]2[C@@H](CO)[C@H](O)C[C@H]2NCC(C)(C)C)n1', 'Oc1ccc([C@H]2Oc3cc4c5c(c3[C@@H]2c2cc(O)cc(O)c2)C[C@H](c2ccc(O)cc2O)c2c(O)cc(O)cc2[C@@H]5[C@H](c2ccc(O)cc2)O4)cc1', 'OCc1ccc[nH]1', 'O=S(=O)(O)CCCN1CCN(CCO)CC1', 'Cn1[nH]c(=O)c(=O)nc1SCC1=C(C(=O)O)N2C(=O)[C@@H](N)[C@H]2SC1', 'CNC[C@@H]1C[C@@H]2CCC[C@]34CC[C@]5(O)CC(=O)C[C@H](c6ccc(O)c(OC)c6)[C@@H](Cc6ccccc6)C#C[C@H](CN3)[C@@H]5[C@@]24c2cc(O)c(O)cc21', 'CC(=O)OCC1=CO[C@H](OC(=O)[C@H](OC(C)=O)C(C)C)[C@@H]2C1=C[C@H](OC(=O)CC(C)C)[C@]21CO1']"
C(c1nc2ccccc2n1Cc1ccc(cc1)[Cl])Nc1ccc(cc1)C(O)=O,"['O=C(O)CCCCCCCCCC[C@H]1C=CCC1', 'O=C1[C@H](O)[C@]23C=CCN4CC[C@H]5c6cc7c(cc6N1[C@@]5(CC2)[C@H]43)OCO7', 'CC/C=C\\C/C=C\\C/C=C\\C/C=C\\CCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\\C/C=C\\C/C=C\\CC)COC(=O)CCCCCCCCC/C=C\\C/C=C\\CCCC', 'C=C(C)CNCC(=O)N(C)c1ccc(Cl)cc1C(=O)c1ccccc1', 'NC(=O)c1ccc(C(=O)O)cc1', 'COC(=O)c1cccc([N+](=O)[O-])c1CBr', 'CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Oc2c(C)c(C)c3c(c2C)CC[C@@](C)(CCC[C@@H](C)CCC[C@@H](C)CCCC(C)C)O3)C(C)(C)CCC1', 'COc1cc2c(cc1OC)[C@H](O)[C@H](CC1CCN(Cc3ccccc3)CC1)C2', 'CC[C@@H](C)[C@H](C(=O)N[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N/C=C\\c2ccc(cc2)O[C@H]1C(C)C)N(C)C', 'C/C(=C\\COc1c2ccoc2cc2oc(=O)ccc12)CC[C@H]1OC1(C)C', 'COC1=C[C@H](/C=C\\c2ccc(OC)c(O)c2)CC(OC)=C1OC', 'c1ccc(-c2cn3c(n2)CO[C@@H](CNCc2ccc4ccccc4n2)C3)cc1', 'COc1ccc(CNC(=O)CC[C@H]2CNC(=O)[C@@H]3[C@@H](CCN3C(C)C)N2C)cc1', 'CC/C=C\\C/C=C\\C/C=C\\C/C=C\\C/C=C\\CCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCC/C=C\\C/C=C\\C/C=C\\C/C=C\\C/C=C\\CC', 'CC(C)C1=CC2=C[C@H]3OC(=O)[C@]4(CCCC(C)(C)[C@@H]34)C2=C(O)C1=O']"
Cc1c(CCNCc2c(cc(cc2OC)OC)OC)c2cc(ccc2[nH]1)OC,"['CC1(C)C=C(C(=O)O)C(C)(C)N1', 'COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12', 'CC/C=C\\C/C=C\\C/C=C\\C/C=C\\CCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\\CCCC)OC(=O)CCCCCCC/C=C\\C/C=C\\CCCCCC', 'O=C1C[C@@H](c2ccccc2)Oc2c(O)c(O[C@H]3O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]3O)cc(O)c21', 'CC1=C2C(=O)C=C(C=O)[C@@H]2[C@@H]2OC(=O)[C@H](C)[C@@H]2[C@@H](OC(=O)Cc2ccc(O)cc2)C1', 'CC1(C)S[C@@H]2CC(=O)N2[C@H]1C(=O)O', 'O=S(=O)(NC[C@H]1C[C@@H]2CCN1C[C@@H]2CN1CCCCC1)c1cccs1', 'COc1cc(O)c(OC)c2oc(=O)ccc12', 'CC(C)[C@]12C=C[C@](C)(O)[C@H]1C2', 'COc1cc2c(cc1OC)C[C@@H](NC[C@H](OC)c1ccccc1)CC2', 'CC(C)[C@@H]1CC[C@H](C)C[C@@H]1OC[C@@](C)(O)CO', 'CCCCC/C=C/C=C/[C@H](O)CCCCCCCC(=O)O', 'CCCCC1(O)C(=O)N(c2ccccc2)N(c2ccccc2)C1=O', 'CC(=O)NC[C@H]1OC[C@@H](NCc2cccc(C#N)c2)[C@@H]1O', 'CO[C@@]12O[C@@]3(C)CC[C@@H](OC(=O)[C@@H]1[C@@H]1[C@@H]4[C@H](C[C@H]13)C(C(=O)O)=C[C@@H]1[C@H](OC(C)=O)[C@H](C)[C@H](O)[C@@H]14)[C@@H]2C']"
C1CC2=C(C(C(C#N)=C(N)O2)c2ccc(c(c2)O)O)C(C1)=O,"['NC(=O)c1cccc(O)c1O', 'O=C(CCCN1CC[C@](O)(c2ccc(Cl)cc2)C1)c1ccc(F)cc1', 'C=C1C[C@@]23C[C@]1(O)[C@@H](O)C[C@@H]2[C@]1(C=O)CCC[C@](C)(C(=O)O)[C@H]1[C@@H]3C(=O)O', 'COc1ccc(C[O])cc1OC', 'O=S(=O)(O)/C(=C/c1ccccc1)c1ccccc1', 'C[C@H]1[C@H](C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@H]4[C@@]5(C)CC[C@@H](O)[C@](C)(CO)[C@H]5CC[C@]43C)[C@H]12', 'CSCCCCCCC[C@](O)(CC(=O)O)C(=O)O', 'O=C(Cc1cccs1)N1CCC(c2nc(-c3cccs3)no2)CC1', 'CC1(C)CCC[C@]2(C)[C@H]3C[C@@H]4[C@H]([C@@H]31)[C@]42C', 'COc1cc(CC[C@H](C[C@H](CCCCCCc2ccccc2)OC(C)=O)OC(C)=O)c(-c2ccnc(N)c2)cc1O', 'CC1(CCC[C@@H](O)CC(=O)CCc2ccc(O)c(OC[N+]3=CC4=CC=NC4=C3)c2)CCCC1', 'CCOC(=O)c1ccc(C(F)(F)F)nc1', 'CC1=C[C@@H]2c3c(cc4oc5cc(C)cc(O)c5c4c3C)O[C@]3(O)[C@H](O)c4oc5cc(C)cc(O)c5c4[C@](C)(C1)[C@@H]23', 'CC(C)(O[C@H]1O[C@@H](COC(=O)/C=C/c2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O)[C@H]1Cc2cc3ccc(=O)oc3c(O)c2O1', 'CSCCCC/C(=N\\OS(=O)(=O)O)S[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O']"
C1CC2(CCNCC2)CCN(C1)Cc1ccnc2ccccc12,"['CNCCNC(=N)N1C=C[C@H](CNCCO)[C@@]2(C1)[C@@H]1CC[C@@H](C)[C@]23C[C@](O)(CO[C@@H]2CCC[C@@H]4C=CC=C[C@H]42)C(C(=O)O)=C3C1', 'CC(=O)O[C@@H]1CC[C@]2(C)C3=C(CC[C@@H]2C1(C)C)[C@]1(C)CC[C@H]([C@H](CCC=C(C)C)CO[C@@H]2OC[C@H](O)[C@H](O)[C@@H]2O)[C@@]1(C)CC3', 'CC/C=C\\C/C=C\\C/C=C\\C/C=C\\CCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\\CCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCC', 'CC(C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)OCc1ccccc1)C(=O)NN(CC(=O)O)C(=O)C[C@H](O)C(=O)NCCc1ccccc1', 'CC[C@@H](C)C(=O)C1=C(O)C(CC=C(C)C)=C(O)C(CC=C(C)C)(CC=C(C)C)C1=O', 'CCCN(CCC)[C@@H]1CCc2c(O)cccc2C1', 'COc1ccc(/C=C\\CCCCOc2ccc(C(=O)c3cccc(C(=O)O)c3)cc2CCC(=O)O)cc1', 'O=C(O)C1=CCCN(CCON=C(c2ccccc2)c2ccccc2)C1', 'CC(C)(C)c1ccc(CN2CCN([C@@H](c3ccccc3)c3ccc(Cl)cc3)CC2)cc1', 'O=C1CCC2CCC(=O)N12', 'FC1(F)CC[C@]1(F)Cl', 'N[C@@H](CO)[C@H]1N=C(Cc2cnc[nH]2)C(=O)N1CC(=O)O', 'C=C(C)[C@H]1[C@@H]2C(=O)O[C@H]1[C@@H](O)[C@@]1(C)[C@]3(CO3)[C@@H]3O[C@H]3[C@@]21O', 'CC[C@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(NC(=O)CN)cccc3nc2-1', 'Oc1ccc(-c2ccc([C@@H](O)c3ccncc3)cc2)cc1']"
