Target_RNA_ID	Target_RNA_name	A(((	A((.	A(..	A(.(	A.((	A.(.	A..(	A...	G(((	G((.	G(..	G(.(	G.((	G.(.	G..(	G...	C(((	C((.	C(..	C(.(	C.((	C.(.	C..(	C...	U(((	U((.	U(..	U(.(	U.((	U.(.	U..(	U...	
Target_4	RNA_APTAMER_CB_42	0.05385	0.00769	0.01538	0.00769	0.01538	0.0	0.02308	0.11538	0.12308	0.02308	0.03077	0.0	0.04615	0.0	0.0	0.02308	0.11538	0.03846	0.02308	0.0	0.03077	0.0	0.03846	0.06923	0.04615	0.03846	0.02308	0.0	0.00769	0.0	0.03077	0.05385	
Target_5	RNA_APTAMER_B4_25	0.04651	0.0155	0.03876	0.0	0.00775	0.0	0.06202	0.10853	0.07752	0.05426	0.0155	0.00775	0.06977	0.0	0.00775	0.0155	0.10853	0.04651	0.03101	0.0155	0.03876	0.0	0.03876	0.06977	0.04651	0.00775	0.0155	0.0	0.0155	0.0	0.0	0.03876	
Target_6	RNA_Aptamer	0.05882	0.0	0.02941	0.0	0.0	0.0	0.02941	0.08824	0.11765	0.05882	0.0	0.02941	0.05882	0.0	0.05882	0.05882	0.11765	0.02941	0.0	0.0	0.05882	0.0	0.0	0.05882	0.05882	0.0	0.02941	0.0	0.0	0.0	0.0	0.05882	
Target_26	35 nucleotide RNA	0.0303	0.0303	0.0303	0.0	0.0303	0.0	0.0303	0.09091	0.15152	0.0	0.0303	0.0	0.0303	0.0	0.06061	0.09091	0.15152	0.0303	0.0	0.0	0.0	0.0	0.0	0.0303	0.0303	0.0303	0.0303	0.0	0.0303	0.0	0.0	0.06061	
Target_29	Riboflavin binding RNA aptamer	0.07407	0.03704	0.0	0.0	0.0	0.0	0.0	0.14815	0.11111	0.0	0.03704	0.0	0.0	0.0	0.03704	0.2963	0.11111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07407	0.0	0.0	0.0	0.03704	0.0	0.0	0.03704	
Target_30	NMN binding RNA aptamer	0.06383	0.0	0.06383	0.0	0.0	0.0	0.04255	0.08511	0.08511	0.04255	0.0	0.0	0.10638	0.0	0.04255	0.0	0.10638	0.04255	0.02128	0.02128	0.02128	0.0	0.0	0.08511	0.08511	0.02128	0.0	0.0	0.0	0.0	0.0	0.06383	
Target_31	cyanocobalamin 35 nt RNA aptamer	0.03448	0.0	0.06897	0.03448	0.0	0.0	0.03448	0.06897	0.06897	0.03448	0.0	0.03448	0.10345	0.0	0.03448	0.03448	0.06897	0.03448	0.0	0.0	0.03448	0.0	0.0	0.17241	0.03448	0.06897	0.0	0.0	0.0	0.0	0.0	0.03448	
Target_32	TCT8-4 RNA Aptamer	0.125	0.0	0.025	0.0	0.0	0.0	0.025	0.025	0.1	0.05	0.025	0.0	0.025	0.0	0.025	0.0	0.075	0.05	0.075	0.0	0.05	0.0	0.0	0.05	0.1	0.025	0.0	0.0	0.025	0.0	0.05	0.075	
Target_120	RNA hairpin loop	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.08333	0.0	0.08333	0.0	0.0	0.08333	0.25	0.08333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333	0.08333	
Target_33	Biotin aptamer	0.07407	0.02778	0.0463	0.0	0.0	0.0	0.03704	0.07407	0.09259	0.02778	0.02778	0.0	0.0463	0.0	0.00926	0.03704	0.11111	0.03704	0.00926	0.00926	0.01852	0.0	0.01852	0.06481	0.05556	0.01852	0.01852	0.0	0.03704	0.0	0.02778	0.07407	
Target_121	Bulge_A_RNA	0.04762	0.04762	0.0	0.04762	0.04762	0.0	0.0	0.0	0.19048	0.04762	0.04762	0.0	0.0	0.0	0.0	0.0	0.2381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09524	0.0	0.0	0.0	0.04762	0.0	0.04762	0.09524	
Target_34	FMN aptamer	0.0303	0.0303	0.0303	0.0	0.0303	0.0	0.0303	0.09091	0.15152	0.0	0.0303	0.0	0.0303	0.0	0.06061	0.09091	0.15152	0.0303	0.0	0.0	0.0	0.0	0.0	0.0303	0.0303	0.0303	0.0303	0.0	0.0303	0.0	0.0	0.06061	
Target_39	Tetracycline in vitro aptamer	0.05882	0.0	0.05882	0.0	0.02941	0.0	0.07353	0.08824	0.13235	0.04412	0.01471	0.0	0.01471	0.01471	0.01471	0.0	0.13235	0.01471	0.02941	0.0	0.02941	0.01471	0.01471	0.04412	0.08824	0.01471	0.0	0.0	0.0	0.0	0.0	0.07353	
Target_40	ss_PolyA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Target_79	T-box riboswitch	0.03704	0.0	0.0	0.0	0.0	0.0	0.0	0.07407	0.14815	0.03704	0.0	0.0	0.07407	0.0	0.03704	0.07407	0.18519	0.03704	0.0	0.0	0.0	0.0	0.03704	0.07407	0.07407	0.0	0.07407	0.0	0.0	0.0	0.0	0.03704	
Target_123	RNA XIII	0.11111	0.03704	0.0	0.0	0.0	0.0	0.0	0.0	0.22222	0.03704	0.03704	0.0	0.0	0.0	0.0	0.0	0.22222	0.0	0.0	0.0	0.03704	0.0	0.0	0.0	0.11111	0.0	0.03704	0.0	0.03704	0.0	0.07407	0.03704	
Target_124	RNA XIV	0.11538	0.03846	0.0	0.0	0.0	0.0	0.0	0.0	0.23077	0.03846	0.0	0.03846	0.0	0.0	0.0	0.0	0.23077	0.0	0.0	0.0	0.03846	0.0	0.0	0.0	0.11538	0.0	0.03846	0.0	0.03846	0.0	0.03846	0.03846	
