Target_RNA_ID	Target_RNA_name	AA	DNC_AG	DNC_AC	DNC_AU	DNC_GA	DNC_GG	DNC_GC	DNC_GU	DNC_CA	DNC_CG	DNC_CC	DNC_CU	DNC_UA	DNC_UG	DNC_UC	DNC_UU	DNC_Feat_17	DNC_Feat_18	DNC_Feat_19	DNC_Feat_20	DNC_Feat_21	DNC_Feat_22	DNC_Feat_23	DNC_Feat_24	
Target_4	RNA_APTAMER_CB_42	0.0025	0.00182	0.00182	0.00091	0.00159	0.00273	0.00273	0.00045	0.00182	0.00114	0.00386	0.0025	0.00114	0.00159	0.00091	0.00227	0.11678	0.13241	0.11909	0.10972	0.1279	0.12847	0.12498	0.11087	
Target_5	RNA_APTAMER_B4_25	0.00281	0.00129	0.00216	0.00151	0.00216	0.00216	0.00237	0.00043	0.00173	0.00281	0.00432	0.00086	0.00108	0.00065	0.00086	0.00086	0.11706	0.12018	0.12689	0.128	0.13398	0.12394	0.1099	0.11198	
Target_6	RNA_Aptamer	0.00269	0.00135	0.00067	0.0	0.00202	0.00471	0.00269	0.0	0.0	0.00202	0.00202	0.00202	0.0	0.00067	0.00135	0.00135	0.11482	0.15785	0.09946	0.11577	0.12426	0.10282	0.13869	0.12277	
Target_26	35 nucleotide RNA	0.0008	0.00241	0.00161	0.00161	0.00241	0.00322	0.00322	0.00161	0.00161	0.00241	0.0008	0.0008	0.00161	0.00161	0.0008	0.0008	0.12576	0.13127	0.11496	0.13478	0.114	0.08999	0.13263	0.12928	
Target_29	Riboflavin binding RNA aptamer	0.00117	0.00467	0.00117	0.00117	0.00701	0.00701	0.0	0.00234	0.0	0.00234	0.00117	0.0	0.0	0.00117	0.00234	0.00117	0.14952	0.13662	0.1093	0.09356	0.1497	0.11717	0.11731	0.09413	
Target_30	NMN binding RNA aptamer	0.00242	0.00121	0.00303	0.00061	0.00182	0.00424	0.00121	0.00121	0.00182	0.00182	0.00363	0.00121	0.00121	0.00061	0.00121	0.00182	0.10186	0.12768	0.12388	0.13403	0.12776	0.12775	0.1255	0.10248	
Target_31	cyanocobalamin 35 nt RNA aptamer	0.00212	0.00212	0.00212	0.00106	0.00106	0.00212	0.00424	0.00212	0.00424	0.00318	0.00212	0.00106	0.00106	0.00212	0.00106	0.0	0.15056	0.08533	0.14241	0.11572	0.12886	0.10542	0.1244	0.11554	
Target_32	TCT8-4 RNA Aptamer	0.00071	0.00213	0.00142	0.00213	0.00142	0.00071	0.00284	0.00142	0.00355	0.00071	0.00213	0.00213	0.00071	0.00284	0.00213	0.00213	0.1181	0.13837	0.11417	0.12481	0.10324	0.12253	0.11733	0.13232	
Target_120	RNA hairpin loop	0.0	0.0	0.0	0.0	0.0	0.0	0.0084	0.0042	0.0	0.0105	0.0	0.0	0.0	0.0042	0.0	0.0	0.21782	0.02597	0.19423	0.06147	0.19286	0.04081	0.23591	0.00363	
Target_33	Biotin aptamer	0.0014	0.00168	0.00224	0.00252	0.00224	0.0028	0.00168	0.00084	0.0028	0.0014	0.00196	0.00196	0.0014	0.00168	0.00224	0.00168	0.11077	0.13947	0.14301	0.12425	0.08991	0.10215	0.12518	0.13471	
Target_121	Bulge_A_RNA	0.00139	0.00278	0.00139	0.0	0.00417	0.00278	0.0	0.00278	0.0	0.00278	0.00278	0.00139	0.0	0.0	0.00417	0.00417	0.11933	0.0941	0.14181	0.12804	0.1226	0.09842	0.14398	0.12115	
Target_34	FMN aptamer	0.0008	0.00241	0.00161	0.00161	0.00241	0.00322	0.00322	0.00161	0.00161	0.00241	0.0008	0.0008	0.00161	0.00161	0.0008	0.0008	0.12576	0.13127	0.11496	0.13478	0.114	0.08999	0.13263	0.12928	
Target_39	Tetracycline in vitro aptamer	0.00247	0.00206	0.00247	0.00164	0.00247	0.00206	0.00206	0.00041	0.00164	0.00164	0.00247	0.00206	0.00206	0.00082	0.00123	0.00082	0.11633	0.10141	0.11155	0.12238	0.12744	0.13447	0.12424	0.13382	
Target_40	ss_PolyA	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Target_79	T-box riboswitch	0.00103	0.00103	0.00103	0.0	0.00206	0.00413	0.00309	0.00206	0.0	0.00413	0.00309	0.00206	0.0	0.00103	0.00309	0.00103	0.1469	0.12206	0.10401	0.1441	0.10059	0.14337	0.11266	0.09743	
Target_123	RNA XIII	0.0	0.00111	0.00222	0.00111	0.00222	0.00111	0.00222	0.00445	0.00222	0.00445	0.00111	0.0	0.0	0.00222	0.00334	0.00334	0.13865	0.11261	0.11373	0.13783	0.10971	0.16014	0.07103	0.12517	
Target_124	RNA XIV	0.0	0.00122	0.00244	0.00122	0.00244	0.00122	0.00244	0.00488	0.00244	0.00488	0.00122	0.0	0.0	0.00244	0.00366	0.00244	0.13783	0.1232	0.10174	0.12122	0.13271	0.14061	0.07847	0.13129	
Target_125	RNA XV	0.0	0.0	0.00238	0.00238	0.00238	0.00119	0.00238	0.00358	0.00238	0.00477	0.00119	0.0	0.0	0.00238	0.00358	0.00238	0.1402	0.12094	0.11041	0.13829	0.10742	0.14772	0.07996	0.12406	
Target_126	RNA XVII	0.0	0.00104	0.00208	0.00104	0.00208	0.00104	0.00208	0.00417	0.00208	0.00417	0.00104	0.0	0.0	0.00208	0.00313	0.00417	0.12968	0.10518	0.11951	0.13391	0.11561	0.14834	0.11333	0.10421	
Target_112	T box antiterminator RNA	0.00103	0.00103	0.00103	0.0	0.00206	0.00413	0.00309	0.00206	0.0	0.00413	0.00309	0.00206	0.0	0.00103	0.00309	0.00103	0.1469	0.12206	0.10401	0.1441	0.10059	0.14337	0.11266	0.09743	
Target_127	SLI of Rep A	0.0046	0.00077	0.00153	0.00153	0.0023	0.00153	0.00153	0.0	0.00077	0.0023	0.00077	0.00153	0.0	0.00077	0.00153	0.00384	0.1123	0.10622	0.11552	0.13655	0.12918	0.16382	0.09424	0.11685	
Target_63	Thymidylate synthase m-RNA	0.0	0.0	0.0	0.00103	0.0	0.00308	0.00513	0.00205	0.00103	0.00513	0.01025	0.00103	0.0	0.00308	0.00103	0.0	0.12608	0.12986	0.1206	0.11735	0.10233	0.12965	0.10179	0.13953	
Target_64	Bcr-Abl m-RNA	0.00278	0.00347	0.00069	0.00139	0.00208	0.00208	0.00278	0.00069	0.00278	0.00069	0.00278	0.00139	0.00139	0.00069	0.00139	0.00069	0.11679	0.14627	0.09654	0.12861	0.12812	0.11645	0.12385	0.11558	
Target_65	PAX3-FKHR m-RNA	0.00265	0.00464	0.0	0.00066	0.00133	0.00133	0.00265	0.00133	0.00265	0.00066	0.00199	0.00066	0.00133	0.0	0.00133	0.00265	0.10073	0.11814	0.12547	0.14799	0.12881	0.13228	0.11351	0.10721	
Target_56	RNA aptamer_1	0.00085	0.00212	0.00085	0.00042	0.00254	0.00296	0.00254	0.00127	0.0	0.00254	0.00042	0.00254	0.00085	0.00127	0.00212	0.00296	0.12031	0.12134	0.11594	0.12649	0.12986	0.12837	0.10294	0.1285	
Target_57	RNA aptamer_2	0.00044	0.00218	0.00131	0.00044	0.00261	0.00305	0.00261	0.00131	0.0	0.00261	0.00044	0.00261	0.00131	0.00131	0.00174	0.00305	0.1244	0.12777	0.11899	0.11799	0.12853	0.12648	0.09966	0.12918	
