RNA_id,mol_id,true_affinity,predicted_affinity,ablation,seed
PreQ1,101298,1.0,3.993710501639952,none,0
PreQ1,12182839,1.0,4.549071988096738,none,0
PreQ1,12201213,1.0,7.14858837393695,none,0
PreQ1,122385,1.0,7.775481481624137,none,0
PreQ1,12267434,1.0,4.409415141182177,none,0
PreQ1,12634687,1.0,6.110267084236359,none,0
PreQ1,12766557,1.0,6.429874747318108,none,0
PreQ1,12892198,1.0,7.653397514969756,none,0
PreQ1,13202927,1.0,5.8401419478891885,none,0
PreQ1,14224931,1.0,6.085871906193038,none,0
PreQ1,14325308,1.0,4.933829204133815,none,0
PreQ1,14604674,1.0,5.593593725132445,none,0
PreQ1,15196499,1.0,6.032533928111072,none,0
PreQ1,157940,1.0,3.8912571137124092,none,0
PreQ1,16899791,1.0,4.4950422358322895,none,0
PreQ1,17311387,1.0,8.44249006661238,none,0
PreQ1,17587941,1.0,6.692239342369431,none,0
PreQ1,17741735,1.0,5.52319451211739,none,0
PreQ1,17917068,1.0,5.119989706573324,none,0
PreQ1,17922447,1.0,6.112076708447123,none,0
PreQ1,18391632,1.0,5.393125465830266,none,0
PreQ1,18682916,1.0,5.450473250521325,none,0
PreQ1,19297220,1.0,5.924687935909175,none,0
PreQ1,20278440,1.0,5.069863510563127,none,0
PreQ1,205832,1.0,6.067062933050558,none,0
PreQ1,21044903,1.0,8.058601070128429,none,0
PreQ1,21582243,1.0,7.943789462815929,none,0
PreQ1,25638728,1.0,8.334559607469545,none,0
PreQ1,26633940,1.0,9.076735588122482,none,0
PreQ1,26642358,1.0,7.157435994579799,none,0
PreQ1,26965809,1.0,8.875419108796807,none,0
PreQ1,2810-4224,1.0,6.435556940853239,none,0
PreQ1,2810-4227,1.0,5.422860401960271,none,0
PreQ1,31242301,1.0,5.719064534207529,none,0
PreQ1,31575004,1.0,4.421794030471018,none,0
PreQ1,31764292,1.0,4.839098425375671,none,0
PreQ1,31852539,1.0,6.719272596476547,none,0
PreQ1,31917501,1.0,4.8536131144555865,none,0
PreQ1,32903475,1.0,4.883078259908471,none,0
PreQ1,33557632,1.0,4.794625530357044,none,0
PreQ1,33921774,1.0,4.315527653315859,none,0
PreQ1,34268481,1.0,7.099096768133346,none,0
PreQ1,3448-7906,1.0,5.711960427903806,none,0
PreQ1,3720-2377,1.0,6.589445613451325,none,0
PreQ1,39666518,1.0,6.63190102637298,none,0
PreQ1,39837810,1.0,7.778856515426407,none,0
PreQ1,4013-2178,1.0,7.359836218958242,none,0
PreQ1,41830928,1.0,7.181291376232006,none,0
PreQ1,42028139,1.0,7.503898431455937,none,0
PreQ1,42532169,1.0,6.192128759519724,none,0
PreQ1,42929743,1.0,4.842712828095527,none,0
PreQ1,4616-0292,1.0,7.813926711717988,none,0
PreQ1,4708-0071,1.0,7.424463675348411,none,0
PreQ1,47488116,1.0,5.998930659200922,none,0
PreQ1,4790-1176,1.0,4.325091993743083,none,0
PreQ1,47913504,1.0,4.693966657929376,none,0
PreQ1,4964-5174,1.0,6.216739567554448,none,0
PreQ1,5119828,1.0,6.650412868261148,none,0
PreQ1,5172392,1.0,8.807876150913645,none,0
PreQ1,5201830,1.0,7.699624027595403,none,0
PreQ1,5213078,1.0,5.995039324121638,none,0
