,sort_up_to,pocket,auroc,model,seed
0,0,1BYJ_A_GE3_30,0.7195281782437746,rdock,0
1,1,1BYJ_A_GE3_30,0.7195281782437746,rdock,0
2,2,1BYJ_A_GE3_30,0.7195281782437746,rdock,0
3,3,1BYJ_A_GE3_30,0.7195281782437746,rdock,0
4,4,1BYJ_A_GE3_30,0.7195281782437746,rdock,0
5,5,1BYJ_A_GE3_30,0.7195281782437746,rdock,0
6,6,1BYJ_A_GE3_30,0.9659239842726082,rdock,0
7,7,1BYJ_A_GE3_30,0.9606815203145478,rdock,0
8,8,1BYJ_A_GE3_30,0.9554390563564875,rdock,0
9,9,1BYJ_A_GE3_30,0.9528178243774574,rdock,0
10,10,1BYJ_A_GE3_30,0.9462647444298821,rdock,0
11,11,1BYJ_A_GE3_30,0.9370904325032765,rdock,0
12,12,1BYJ_A_GE3_30,0.9305373525557011,rdock,0
13,13,1BYJ_A_GE3_30,0.9252948885976409,rdock,0
14,14,1BYJ_A_GE3_30,0.9200524246395806,rdock,0
15,15,1BYJ_A_GE3_30,0.9148099606815203,rdock,0
16,16,1BYJ_A_GE3_30,0.9108781127129751,rdock,0
17,17,1BYJ_A_GE3_30,0.908256880733945,rdock,0
18,18,1BYJ_A_GE3_30,0.9043250327653998,rdock,0
19,19,1BYJ_A_GE3_30,0.9003931847968545,rdock,0
20,0,1BYJ_A_GE3_30,0.7024901703800787,rdock,1
21,1,1BYJ_A_GE3_30,0.7024901703800787,rdock,1
22,2,1BYJ_A_GE3_30,0.7024901703800787,rdock,1
23,3,1BYJ_A_GE3_30,0.7024901703800787,rdock,1
24,4,1BYJ_A_GE3_30,0.7024901703800787,rdock,1
25,5,1BYJ_A_GE3_30,0.7024901703800787,rdock,1
26,6,1BYJ_A_GE3_30,0.9737876802096985,rdock,1
27,7,1BYJ_A_GE3_30,0.963302752293578,rdock,1
28,8,1BYJ_A_GE3_30,0.963302752293578,rdock,1
29,9,1BYJ_A_GE3_30,0.9541284403669725,rdock,1
30,10,1BYJ_A_GE3_30,0.9488859764089121,rdock,1
31,11,1BYJ_A_GE3_30,0.9410222804718218,rdock,1
