Target_RNA_ID	Target_RNA_name	A(((	A((.	A(..	A(.(	A.((	A.(.	A..(	A...	G(((	G((.	G(..	G(.(	G.((	G.(.	G..(	G...	C(((	C((.	C(..	C(.(	C.((	C.(.	C..(	C...	U(((	U((.	U(..	U(.(	U.((	U.(.	U..(	U...	
Target_20	RNA_Str_HIV-2 TAR	0.07143	0.03571	0.0	0.0	0.0	0.0	0.03571	0.0	0.17857	0.0	0.0	0.0	0.07143	0.0	0.0	0.10714	0.21429	0.03571	0.03571	0.0	0.0	0.0	0.0	0.0	0.10714	0.0	0.03571	0.0	0.0	0.0	0.03571	0.03571	
Target_19	HIV-1 TAR RNA	0.07407	0.03704	0.0	0.0	0.0	0.0	0.03704	0.0	0.14815	0.0	0.0	0.0	0.07407	0.0	0.0	0.11111	0.18519	0.03704	0.03704	0.0	0.0	0.0	0.0	0.03704	0.11111	0.0	0.03704	0.0	0.0	0.0	0.03704	0.03704	
Target_66	HCV IRES Domain II	0.0	0.0	0.0	0.0	0.0	0.0	0.07407	0.11111	0.11111	0.03704	0.07407	0.0	0.07407	0.0	0.0	0.14815	0.07407	0.07407	0.0	0.0	0.03704	0.0	0.0	0.0	0.03704	0.0	0.03704	0.0	0.0	0.0	0.03704	0.07407	
Target_80	HIV-1 RRE	0.14062	0.01562	0.03125	0.01562	0.0	0.0	0.03125	0.01562	0.14062	0.04688	0.0	0.04688	0.03125	0.01562	0.0	0.0	0.14062	0.01562	0.0	0.01562	0.04688	0.0	0.0	0.01562	0.14062	0.01562	0.01562	0.0	0.01562	0.01562	0.01562	0.01562	
Target_109	HIV-1FRAMESHIFT STEM LOOP STRUCTURE	0.08	0.02	0.02	0.0	0.02	0.0	0.06	0.04	0.2	0.02	0.04	0.0	0.02	0.0	0.0	0.0	0.16	0.02	0.0	0.0	0.0	0.0	0.0	0.02	0.12	0.02	0.0	0.0	0.04	0.0	0.02	0.08	
Target_146	SL-3 of HIV-1_SITE	0.06034	0.01724	0.03448	0.00862	0.00862	0.0	0.06034	0.05172	0.12069	0.06034	0.06897	0.01724	0.02586	0.00862	0.05172	0.07759	0.06897	0.02586	0.00862	0.0	0.06897	0.00862	0.0	0.00862	0.09483	0.01724	0.0	0.0	0.01724	0.0	0.0	0.00862	
Target_81	RRE1	0.07407	0.0	0.0	0.0	0.0	0.0	0.03704	0.0	0.14815	0.07407	0.07407	0.0	0.03704	0.0	0.07407	0.0	0.14815	0.03704	0.0	0.0	0.07407	0.0	0.0	0.03704	0.07407	0.0	0.03704	0.0	0.0	0.0	0.0	0.07407	
Target_82	RRE2	0.04167	0.0	0.0	0.0	0.04167	0.0	0.04167	0.0	0.08333	0.08333	0.0	0.0	0.08333	0.0	0.0	0.0	0.125	0.08333	0.08333	0.04167	0.04167	0.0	0.04167	0.0	0.08333	0.0	0.04167	0.0	0.0	0.0	0.04167	0.04167	
Target_83	RRE3	0.07692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30769	0.0	0.0	0.0	0.03846	0.0	0.03846	0.0	0.30769	0.03846	0.0	0.0	0.0	0.0	0.0	0.03846	0.07692	0.0	0.03846	0.0	0.0	0.0	0.0	0.03846	
Target_84	RRE4	0.07692	0.0	0.0	0.0	0.0	0.0	0.03846	0.0	0.15385	0.07692	0.07692	0.0	0.03846	0.0	0.07692	0.0	0.15385	0.03846	0.0	0.0	0.07692	0.0	0.0	0.03846	0.07692	0.0	0.03846	0.0	0.0	0.0	0.0	0.03846	
Target_85	RRE5	0.07692	0.0	0.0	0.03846	0.0	0.0	0.0	0.0	0.19231	0.03846	0.0	0.03846	0.07692	0.0	0.03846	0.0	0.19231	0.07692	0.0	0.0	0.03846	0.0	0.0	0.03846	0.07692	0.0	0.03846	0.0	0.0	0.0	0.0	0.03846	
Target_86	RRE6	0.07692	0.0	0.0	0.03846	0.0	0.0	0.0	0.0	0.19231	0.07692	0.0	0.03846	0.03846	0.0	0.03846	0.0	0.19231	0.03846	0.0	0.0	0.07692	0.0	0.0	0.03846	0.07692	0.0	0.03846	0.0	0.0	0.0	0.0	0.03846	
Target_87	RRE7	0.07692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19231	0.07692	0.0	0.07692	0.03846	0.0	0.03846	0.0	0.19231	0.03846	0.0	0.0	0.07692	0.0	0.0	0.03846	0.07692	0.0	0.03846	0.0	0.0	0.0	0.0	0.03846	
Target_88	RRE8	0.11111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25926	0.0	0.0	0.03704	0.03704	0.0	0.03704	0.0	0.22222	0.03704	0.0	0.0	0.03704	0.0	0.0	0.03704	0.07407	0.03704	0.03704	0.0	0.0	0.0	0.0	0.03704	
Target_89	RRE9	0.07407	0.0	0.0	0.03704	0.0	0.0	0.0	0.0	0.22222	0.03704	0.0	0.0	0.07407	0.0	0.03704	0.0	0.2963	0.03704	0.0	0.0	0.0	0.0	0.0	0.03704	0.07407	0.0	0.03704	0.0	0.0	0.0	0.0	0.03704	
Target_90	RRE10	0.07407	0.0	0.0	0.03704	0.0	0.0	0.0	0.0	0.2963	0.0	0.0	0.0	0.03704	0.0	0.03704	0.0	0.22222	0.07407	0.0	0.0	0.03704	0.0	0.0	0.03704	0.07407	0.0	0.03704	0.0	0.0	0.0	0.0	0.03704	
Target_91	RRE11	0.07143	0.0	0.03571	0.0	0.0	0.0	0.03571	0.0	0.28571	0.0	0.0	0.0	0.03571	0.0	0.03571	0.0	0.21429	0.07143	0.0	0.0	0.03571	0.0	0.0	0.03571	0.07143	0.0	0.03571	0.0	0.0	0.0	0.0	0.03571	
Target_92	RRE12	0.06897	0.0	0.03448	0.0	0.0	0.0	0.03448	0.03448	0.27586	0.0	0.0	0.0	0.03448	0.0	0.03448	0.0	0.2069	0.06897	0.0	0.0	0.03448	0.0	0.0	0.03448	0.06897	0.0	0.03448	0.0	0.0	0.0	0.0	0.03448	
Target_93	RRE13	0.06667	0.0	0.03333	0.0	0.0	0.0	0.03333	0.06667	0.26667	0.0	0.0	0.0	0.03333	0.0	0.03333	0.0	0.2	0.06667	0.0	0.0	0.03333	0.0	0.0	0.03333	0.06667	0.0	0.03333	0.0	0.0	0.0	0.0	0.03333	
Target_94	RRE14	0.07143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28571	0.0	0.03571	0.0	0.03571	0.0	0.07143	0.0	0.21429	0.07143	0.0	0.0	0.03571	0.0	0.0	0.03571	0.07143	0.0	0.03571	0.0	0.0	0.0	0.0	0.03571	
Target_95	RRE15	0.07143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28571	0.0	0.0	0.0	0.03571	0.0	0.03571	0.0	0.21429	0.07143	0.0	0.0	0.03571	0.0	0.0	0.03571	0.07143	0.0	0.07143	0.0	0.0	0.0	0.03571	0.03571	
Target_130	Coxsackie virus B3 RNA	0.08333	0.0	0.0	0.0	0.0	0.0	0.02778	0.02778	0.13889	0.0	0.0	0.0	0.11111	0.0	0.02778	0.0	0.13889	0.08333	0.02778	0.0	0.0	0.0	0.0	0.05556	0.08333	0.02778	0.08333	0.0	0.0	0.0	0.05556	0.02778	
Target_131	Polio virus loop B construct	0.0	0.0	0.0	0.0	0.06667	0.0	0.0	0.06667	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.06667	0.2	0.0	0.0	0.0	0.0	0.0	0.06667	0.13333	0.0	0.06667	0.06667	0.0	0.0	0.0	0.0	0.06667	
Target_188	HIV-1 FSS	0.1	0.0	0.05	0.0	0.0	0.0	0.05	0.05	0.25	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.25	0.05	0.0	0.0	0.0	0.0	0.0	0.05	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
