Target_RNA_ID	Target_RNA_name	AA	DNC_AG	DNC_AC	DNC_AU	DNC_GA	DNC_GG	DNC_GC	DNC_GU	DNC_CA	DNC_CG	DNC_CC	DNC_CU	DNC_UA	DNC_UG	DNC_UC	DNC_UU	DNC_Feat_17	DNC_Feat_18	DNC_Feat_19	DNC_Feat_20	DNC_Feat_21	DNC_Feat_22	DNC_Feat_23	DNC_Feat_24	
Target_20	RNA_Str_HIV-2 TAR	0.0	0.00294	0.0	0.00098	0.00294	0.00392	0.00392	0.0	0.00098	0.0	0.00294	0.00392	0.0	0.00294	0.00196	0.00098	0.12165	0.10849	0.13761	0.10079	0.16113	0.11951	0.12636	0.09601	
Target_19	HIV-1 TAR RNA	0.0	0.00334	0.0	0.00111	0.00334	0.00334	0.00445	0.0	0.00111	0.0	0.00223	0.00557	0.0	0.00334	0.00334	0.0	0.14619	0.10264	0.12363	0.13347	0.11257	0.13942	0.10983	0.10107	
Target_66	HCV IRES Domain II	0.00202	0.00302	0.0	0.0	0.00202	0.00403	0.00302	0.00403	0.0	0.00302	0.00202	0.0	0.00101	0.00202	0.00101	0.00101	0.12124	0.10586	0.14417	0.12528	0.09294	0.12782	0.11917	0.13531	
Target_80	HIV-1 RRE	0.00098	0.00196	0.00245	0.00245	0.00147	0.00196	0.00343	0.00245	0.00294	0.00196	0.00098	0.00147	0.00245	0.00294	0.00098	0.00098	0.11238	0.11512	0.10742	0.11256	0.1424	0.11127	0.13468	0.13231	
Target_109	HIV-1FRAMESHIFT STEM LOOP STRUCTURE	0.00217	0.00271	0.00054	0.00109	0.00217	0.00434	0.00109	0.0	0.00163	0.0	0.00217	0.00163	0.00054	0.00054	0.00163	0.00543	0.08526	0.12563	0.14271	0.12537	0.10043	0.11356	0.13912	0.14024	
Target_146	SL-3 of HIV-1_SITE	0.00161	0.00345	0.00115	0.00046	0.00368	0.00345	0.00322	0.00115	0.00046	0.00299	0.00023	0.00138	0.00069	0.00161	0.00046	0.00092	0.14196	0.11303	0.11894	0.11164	0.12513	0.1175	0.10977	0.13514	
Target_81	RRE1	0.0	0.00098	0.00197	0.0	0.0	0.00492	0.00492	0.00197	0.00197	0.00295	0.00098	0.00197	0.00098	0.00197	0.00098	0.00098	0.13865	0.12536	0.08287	0.14856	0.11508	0.08492	0.15629	0.12071	
Target_82	RRE2	0.0	0.00128	0.00256	0.0	0.0	0.00128	0.00512	0.00256	0.00384	0.00384	0.00256	0.00256	0.0	0.00128	0.00384	0.00128	0.14426	0.12289	0.10045	0.16947	0.08436	0.11066	0.14123	0.09468	
Target_83	RRE3	0.0	0.00099	0.00099	0.0	0.0	0.00397	0.00595	0.00099	0.00198	0.00297	0.00297	0.00198	0.0	0.00198	0.00099	0.00099	0.14025	0.12147	0.09155	0.14946	0.11931	0.08541	0.14673	0.11904	
Target_84	RRE4	0.0	0.00101	0.00202	0.0	0.00101	0.00506	0.00506	0.00101	0.00202	0.00303	0.00101	0.00202	0.0	0.00202	0.00101	0.00101	0.13725	0.13027	0.08104	0.14955	0.1271	0.07843	0.14402	0.12505	
