Target_RNA_ID	Target_RNA_name	AA	DNC_AG	DNC_AC	DNC_AU	DNC_GA	DNC_GG	DNC_GC	DNC_GU	DNC_CA	DNC_CG	DNC_CC	DNC_CU	DNC_UA	DNC_UG	DNC_UC	DNC_UU	DNC_Feat_17	DNC_Feat_18	DNC_Feat_19	DNC_Feat_20	DNC_Feat_21	DNC_Feat_22	DNC_Feat_23	DNC_Feat_24	
Target_69	ADENINE RIBOSWITCH	0.00171	0.00043	0.00171	0.00341	0.00128	0.00213	0.00171	0.00213	0.00171	0.00256	0.00171	0.00043	0.00256	0.00171	0.00171	0.00128	0.09589	0.10064	0.11588	0.11982	0.1325	0.13576	0.12698	0.14438	
Target_70	Riboswitch	0.00167	0.00182	0.00091	0.00258	0.00228	0.00198	0.00228	0.00198	0.00167	0.00228	0.00198	0.00167	0.00152	0.00228	0.00243	0.00122	0.12799	0.12568	0.12096	0.12487	0.10336	0.12801	0.12251	0.11607	
Target_74	Guanine riboswitch	0.00175	0.00044	0.00218	0.00305	0.00131	0.00218	0.00175	0.00218	0.00175	0.00262	0.00175	0.00087	0.00262	0.00175	0.00175	0.00087	0.09444	0.10096	0.11519	0.11752	0.12754	0.13628	0.13069	0.14858	
Target_71	S_Adenosyl_methionine_riboswitch	0.00316	0.0023	0.00115	0.00144	0.00316	0.00258	0.00201	0.00086	0.00172	0.00115	0.0023	0.00086	0.00029	0.0023	0.00057	0.00086	0.11952	0.13708	0.10954	0.11892	0.11878	0.12573	0.13342	0.11031	
Target_72	thiamine_BOX_Riboswitch	0.00186	0.00186	0.00112	0.00186	0.00261	0.00298	0.00186	0.00186	0.00075	0.00149	0.00224	0.00224	0.00149	0.00261	0.00186	0.00075	0.12032	0.1238	0.13043	0.13252	0.12233	0.11302	0.11268	0.11546	
Target_73	B_subtilis_pbuE _Adenine riboswitch	0.00502	0.001	0.00201	0.00402	0.00201	0.00251	0.0	0.00251	0.00151	0.0005	0.00201	0.00151	0.00402	0.00251	0.00151	0.00201	0.10404	0.13465	0.1051	0.12835	0.13747	0.1279	0.12308	0.10478	
Target_36	FMN RIBOSWITCH APTAMER	0.0008	0.00241	0.00161	0.00161	0.00241	0.00322	0.00322	0.00161	0.00161	0.00241	0.0008	0.0008	0.00161	0.00161	0.0008	0.0008	0.12576	0.13127	0.11496	0.13478	0.114	0.08999	0.13263	0.12928	
Target_75	PreQ1_riboswitch_Fusobacterium	0.00487	0.00222	0.00133	0.00177	0.00089	0.00133	0.00177	0.00177	0.00133	0.0	0.00133	0.00266	0.00266	0.00222	0.00089	0.00532	0.09235	0.11956	0.1216	0.12076	0.11486	0.13116	0.1411	0.12627	
Target_37	TPP RIBOSWITCH APTAMER	0.00263	0.00328	0.0023	0.00098	0.00263	0.00328	0.00098	0.00263	0.00164	0.00033	0.00164	0.0023	0.0023	0.0023	0.00131	0.00197	0.10663	0.11434	0.12179	0.13701	0.11122	0.11846	0.12834	0.1297	
Target_38	LYSINE RIBOSWITCH APTAMER	0.0033	0.002	0.00024	0.00295	0.00248	0.00153	0.00153	0.0013	0.00118	0.00083	0.00083	0.00142	0.00153	0.00236	0.00165	0.00295	0.1133	0.12911	0.12308	0.11857	0.11468	0.12526	0.12124	0.12671	
Target_76	B.subtilis tenA TPP riboswitch	0.00263	0.00328	0.0023	0.00098	0.00263	0.00328	0.00098	0.00263	0.00164	0.00033	0.00164	0.0023	0.0023	0.0023	0.00131	0.00197	0.10663	0.11434	0.12179	0.13701	0.11122	0.11846	0.12834	0.1297	
Target_77	B.subtilis tenA FMN riboswitch	0.00287	0.00269	0.00108	0.00179	0.00287	0.00287	0.00179	0.00197	0.00144	0.00162	0.00162	0.00072	0.00126	0.00233	0.0009	0.00162	0.1174	0.13558	0.12649	0.11741	0.12919	0.11022	0.11783	0.11644	
Target_78	B.subtilis lysine riboswitch	0.0033	0.002	0.00024	0.00295	0.00248	0.00153	0.00153	0.0013	0.00118	0.00083	0.00083	0.00142	0.00153	0.00236	0.00165	0.00295	0.1133	0.12911	0.12308	0.11857	0.11468	0.12526	0.12124	0.12671	
Target_189	165 ribD FMN Riboswitch Aptamer, B. subtilis	0.00287	0.00269	0.00108	0.00179	0.00287	0.00287	0.00179	0.00197	0.00144	0.00162	0.00162	0.00072	0.00126	0.00233	0.0009	0.00162	0.1174	0.13558	0.12649	0.11741	0.12919	0.11022	0.11783	0.11644	
Target_190	FMN Riboswitch Aptamer, E. Coli	0.00271	0.00244	0.00109	0.00217	0.00353	0.00271	0.00054	0.00217	0.00109	0.00136	0.00163	0.00081	0.00109	0.00217	0.0019	0.00271	0.11773	0.1245	0.12246	0.12933	0.11794	0.12038	0.11082	0.12672	
Target_191	FMN Riboswitch Aptamer SA1, S. Aureus	0.00362	0.00207	0.00078	0.00336	0.0022	0.00155	0.00129	0.00181	0.00116	0.0009	0.0009	0.00155	0.00284	0.00233	0.00155	0.0031	0.10854	0.11491	0.1147	0.11673	0.13194	0.13102	0.12539	0.12575	
Target_192	FMN Riboswitch Aptamer SA2, S. Aureus	0.00221	0.00253	0.00063	0.003	0.00269	0.00221	0.00111	0.00206	0.00095	0.00095	0.00127	0.00174	0.00237	0.00237	0.0019	0.00221	0.1136	0.11881	0.10692	0.11745	0.12854	0.13203	0.12274	0.1297	
Target_193	FMN Riboswitch, S. Davawensis	0.00161	0.00201	0.00181	0.0004	0.00222	0.00403	0.00282	0.00222	0.00141	0.00403	0.00282	0.0006	0.0006	0.00121	0.00141	0.00101	0.13422	0.11748	0.10762	0.11622	0.1275	0.11959	0.12084	0.12632	
Target_194	TPP Riboswitch, B. Subtilis	0.00263	0.00328	0.0023	0.00098	0.00263	0.00328	0.00098	0.00263	0.00164	0.00033	0.00164	0.0023	0.0023	0.0023	0.00131	0.00197	0.10663	0.11434	0.12179	0.13701	0.11122	0.11846	0.12834	0.1297	
Target_195	108 nt yjdF Riboswitch Construct, B. subtilis, Mutant 1	0.00328	0.00098	0.00131	0.00426	0.00229	0.00197	0.00033	0.00262	0.00164	0.00131	0.00229	0.00197	0.00262	0.00262	0.00328	0.00229	0.11718	0.13961	0.12226	0.10822	0.1186	0.12141	0.12218	0.11549	
Target_228	C. difficile guaA riboswitch	0.00172	0.00043	0.00172	0.00344	0.00129	0.00258	0.00172	0.00215	0.00172	0.00258	0.00129	0.00086	0.00258	0.00172	0.00215	0.00086	0.10073	0.10646	0.11048	0.11682	0.12623	0.13623	0.12972	0.14449	
Target_229	lysC riboswitch	0.0033	0.002	0.00024	0.00306	0.00247	0.00153	0.00153	0.00118	0.00118	0.00082	0.00082	0.00141	0.00165	0.00224	0.00165	0.00294	0.11329	0.12779	0.12212	0.11877	0.11604	0.12466	0.12084	0.12846	
Target_230	lysC riboswitch mutant 1 (M2)	0.00322	0.00203	0.00024	0.00298	0.00251	0.00155	0.00155	0.00131	0.00119	0.00084	0.00084	0.00143	0.00155	0.00239	0.00167	0.00298	0.1146	0.1297	0.12223	0.11897	0.11444	0.12337	0.1229	0.12553	
Target_352	Fusibacterium ulcerans ZTP riboswitch	0.00257	0.00086	0.00342	0.00342	0.00342	0.00171	0.00086	0.00171	0.00171	0.00257	0.00128	0.00086	0.00257	0.003	0.00086	0.00086	0.11381	0.12967	0.11427	0.11882	0.13184	0.12965	0.10413	0.12615	
Target_405	B.subtilis cysH	0.00326	0.00181	0.00109	0.00181	0.00181	0.00163	0.00199	0.00127	0.00145	0.00072	0.00163	0.00235	0.00145	0.00235	0.00145	0.00344	0.11213	0.14234	0.11356	0.1061	0.12307	0.12931	0.12072	0.12326	
Target_406	B.anthracis cysH	0.00414	0.00241	0.00069	0.00224	0.00241	0.00207	0.00172	0.00052	0.00121	0.00103	0.00103	0.00121	0.00172	0.00103	0.00103	0.00293	0.11131	0.13085	0.12943	0.12475	0.11101	0.12011	0.11837	0.12677	
Target_412	Tetracycline riboswitch A08G mutant	0.00166	0.00249	0.00249	0.00166	0.0029	0.00207	0.00207	0.00041	0.00166	0.00166	0.0029	0.00207	0.00207	0.00083	0.00124	0.00083	0.12734	0.10506	0.11075	0.12184	0.12242	0.13309	0.11639	0.13406	
Target_413	Tetracycline riboswitch A09G mutant	0.00166	0.00249	0.00249	0.00166	0.0029	0.00207	0.00207	0.00041	0.00166	0.00166	0.0029	0.00207	0.00207	0.00083	0.00124	0.00083	0.12133	0.10632	0.11824	0.12831	0.12165	0.12493	0.11562	0.1346	
Target_414	Tetracycline riboswitch A13U mutant	0.00241	0.00201	0.00201	0.00161	0.00241	0.00201	0.00201	0.0004	0.00161	0.00161	0.00281	0.00201	0.00161	0.0008	0.00161	0.0012	0.11529	0.10208	0.11124	0.12144	0.12816	0.1358	0.12424	0.13367	
Target_415	Tetracycline riboswitch A50U mutant	0.00204	0.00164	0.00245	0.00204	0.00245	0.00204	0.00204	0.00041	0.00164	0.00164	0.00286	0.00204	0.00204	0.00123	0.00123	0.00082	0.11544	0.10019	0.11136	0.12185	0.12769	0.13716	0.12311	0.13458	
Target_416	Tetracycline riboswitch G51U mutant	0.00244	0.00162	0.00244	0.00203	0.00203	0.00203	0.00203	0.00041	0.00162	0.00162	0.00284	0.00203	0.00244	0.00081	0.00122	0.00081	0.10855	0.09331	0.11035	0.12149	0.12651	0.14459	0.12454	0.14225	
Target_417	Tetracycline riboswitch U54G mutant	0.00246	0.00246	0.00246	0.00123	0.00287	0.00205	0.00205	0.00041	0.00164	0.00164	0.00287	0.00205	0.00164	0.00082	0.00123	0.00082	0.11884	0.10685	0.10325	0.12471	0.1283	0.13335	0.12522	0.13074	
Target_418	Tetracycline riboswitch A55G mutant	0.00236	0.00197	0.00197	0.00158	0.00236	0.00197	0.00236	0.00039	0.00158	0.00158	0.00276	0.00197	0.00158	0.00118	0.00118	0.00079	0.11761	0.10099	0.11351	0.11769	0.12798	0.14018	0.11803	0.13642	
Target_411	Tetracycline riboswitch	0.00244	0.00203	0.00244	0.00162	0.00244	0.00203	0.00203	0.00041	0.00162	0.00162	0.00284	0.00203	0.00203	0.00081	0.00122	0.00081	0.11571	0.10057	0.11049	0.12289	0.12665	0.13736	0.12327	0.13462	
