Target_RNA_ID	Target_RNA_name	A(((	A((.	A(..	A(.(	A.((	A.(.	A..(	A...	G(((	G((.	G(..	G(.(	G.((	G.(.	G..(	G...	C(((	C((.	C(..	C(.(	C.((	C.(.	C..(	C...	U(((	U((.	U(..	U(.(	U.((	U.(.	U..(	U...	
Target_69	ADENINE RIBOSWITCH	0.06154	0.03077	0.03077	0.0	0.0	0.0	0.01538	0.12308	0.12308	0.03077	0.01538	0.0	0.01538	0.0	0.01538	0.04615	0.10769	0.01538	0.01538	0.0	0.03077	0.0	0.03077	0.03077	0.07692	0.0	0.01538	0.0	0.03077	0.0	0.01538	0.12308	
Target_70	Riboswitch	0.065	0.01	0.03	0.015	0.015	0.0	0.035	0.06	0.14	0.04	0.015	0.0	0.025	0.0	0.02	0.035	0.105	0.025	0.02	0.005	0.025	0.0	0.005	0.065	0.09	0.025	0.015	0.0	0.035	0.0	0.02	0.06	
Target_74	Guanine riboswitch	0.06154	0.03077	0.03077	0.0	0.0	0.0	0.01538	0.12308	0.12308	0.03077	0.01538	0.0	0.01538	0.0	0.01538	0.04615	0.10769	0.01538	0.01538	0.0	0.03077	0.0	0.04615	0.03077	0.07692	0.0	0.01538	0.0	0.03077	0.0	0.0	0.12308	
Target_71	S_Adenosyl_methionine_riboswitch	0.04348	0.02174	0.04348	0.01087	0.01087	0.0	0.06522	0.1087	0.11957	0.03261	0.04348	0.0	0.04348	0.0	0.02174	0.05435	0.08696	0.05435	0.0	0.01087	0.04348	0.0	0.0	0.03261	0.07609	0.01087	0.0	0.0	0.01087	0.0	0.0	0.05435	
Target_72	thiamine_BOX_Riboswitch	0.05128	0.01282	0.02564	0.01282	0.0	0.0	0.02564	0.10256	0.07692	0.07692	0.02564	0.0	0.03846	0.0	0.02564	0.0641	0.0641	0.05128	0.02564	0.01282	0.0641	0.0	0.0	0.01282	0.03846	0.0	0.03846	0.0	0.03846	0.0	0.05128	0.0641	
Target_73	B_subtilis_pbuE _Adenine riboswitch	0.07353	0.02941	0.05882	0.0	0.01471	0.0	0.07353	0.10294	0.05882	0.02941	0.02941	0.0	0.02941	0.0	0.01471	0.02941	0.04412	0.02941	0.0	0.0	0.02941	0.0	0.0	0.05882	0.08824	0.02941	0.02941	0.0	0.02941	0.0	0.01471	0.10294	
Target_36	FMN RIBOSWITCH APTAMER	0.0303	0.0303	0.0303	0.0	0.0303	0.0	0.0303	0.09091	0.15152	0.0	0.0303	0.0	0.0303	0.0	0.06061	0.09091	0.15152	0.0303	0.0	0.0	0.0	0.0	0.0	0.0303	0.0303	0.0303	0.0303	0.0	0.0303	0.0	0.0	0.06061	
Target_75	PreQ1_riboswitch_Fusobacterium	0.13889	0.02778	0.0	0.0	0.02778	0.0	0.02778	0.08333	0.04167	0.01389	0.02778	0.0	0.01389	0.0	0.01389	0.06944	0.04167	0.01389	0.02778	0.0	0.01389	0.0	0.01389	0.05556	0.13889	0.02778	0.01389	0.01389	0.02778	0.0	0.01389	0.11111	
Target_37	TPP RIBOSWITCH APTAMER	0.08163	0.0102	0.02041	0.0102	0.05102	0.0	0.05102	0.06122	0.13265	0.04082	0.02041	0.0102	0.0102	0.0	0.03061	0.04082	0.10204	0.0102	0.03061	0.0	0.03061	0.0	0.0	0.0102	0.11224	0.05102	0.02041	0.0	0.02041	0.0	0.0102	0.03061	
Target_38	LYSINE RIBOSWITCH APTAMER	0.11392	0.02532	0.00844	0.01688	0.02532	0.00422	0.02954	0.08017	0.08861	0.0211	0.03376	0.0211	0.02954	0.00422	0.00844	0.03376	0.07173	0.02954	0.00422	0.00422	0.01688	0.0	0.00844	0.01688	0.13502	0.02954	0.02954	0.0	0.02954	0.00422	0.02532	0.05063	
Target_76	B.subtilis tenA TPP riboswitch	0.08163	0.0102	0.02041	0.0102	0.05102	0.0	0.05102	0.06122	0.13265	0.04082	0.02041	0.0102	0.0102	0.0	0.03061	0.04082	0.10204	0.0102	0.03061	0.0	0.03061	0.0	0.0	0.0102	0.11224	0.05102	0.02041	0.0	0.02041	0.0	0.0102	0.03061	
Target_77	B.subtilis tenA FMN riboswitch	0.06748	0.0184	0.01227	0.01227	0.0	0.0	0.03681	0.1411	0.10429	0.03681	0.03067	0.01227	0.03681	0.00613	0.0184	0.07362	0.08589	0.02454	0.01227	0.00613	0.04294	0.0	0.00613	0.00613	0.07975	0.0184	0.0184	0.0	0.02454	0.0	0.0184	0.04908	
Target_78	B.subtilis lysine riboswitch	0.11392	0.02532	0.00844	0.01688	0.02532	0.00422	0.02954	0.08017	0.08861	0.0211	0.03376	0.0211	0.02954	0.00422	0.00844	0.03376	0.07173	0.02954	0.00422	0.00422	0.01688	0.0	0.00844	0.01688	0.13502	0.02954	0.02954	0.0	0.02954	0.00422	0.02532	0.05063	
