,pdb id,unfiltered lig,metal,covalent lig,lig,lig filtered,lig num,res,res lig,res site frac,res filtered,res filtered lig,res num,lig (type),lig num (type),lig (mass),lig num (mass),rna frac,ribosomal rna,viral rna,ribozyme,riboswitch,aptamer,primer complex,splicing-related,other structure,type num,elements,elements out,size dim1,size dim2,size dim3,size
4,3E5E,"['GTP', 'HOH', 'SAH', 'SR']",['SR'],['GTP'],"['HOH', 'SAH']",['SAH'],1,[220],['SAH'],[0.9285714285714286],[220],['SAH'],1,['SAH'],1.0,['SAH'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],41.093838,43.158947,31.227976,43.158947
16,7OAW,"['CL', 'GTP', 'K', 'MG', 'SPM', 'V6T']","['K', 'MG', 'CL']","['GTP', 'GTP']","['SPM', 'V6T']",['V6T'],1,"[104, 105]","['V6T', 'V6T']","[1.0, 1.0]","[104, 105]","['V6T', 'V6T']",2,['V6T'],1.0,"['SPM', 'V6T']",2,1.0,0,0,0,0,1,0,0,0,1,['C' 'N' 'O' 'P'],[],40.37117,46.264812,60.89518,60.89518
17,6LAZ,"['E7X', 'GTP', 'HOH', 'MG']",['MG'],"['GTP', 'GTP']","['E7X', 'HOH']",['E7X'],1,"[101, 102]","['E7X', 'E7X']","[0.9242819843342036, 0.9213759213759214]","[101, 102]","['E7X', 'E7X']",2,['E7X'],1.0,['E7X'],1,0.514630332812151,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],46.151108,46.408,85.154495,85.154495
26,5BJO,"['747', 'HOH', 'IU', 'K', 'MG']","['K', 'MG']","['IU', 'IU', 'IU', 'IU']","['747', 'HOH']",['747'],1,[104],['747'],[1.0],[104],['747'],1,['747'],1.0,['747'],1,1.0,0,0,0,0,1,0,0,0,1,['C' 'I' 'N' 'O' 'P'],[],31.432365,44.759987,42.657444,44.759987
27,6N5K,"['2BA', 'GTP', 'HOH', 'K', 'MG', 'SO4']","['MG', 'K', 'SO4']",['GTP'],"['2BA', 'HOH']",['2BA'],1,"[201, 202]","['2BA', '2BA']","[1.0, 1.0]","[201, 202]","['2BA', '2BA']",2,['2BA'],1.0,['2BA'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],86.66651,52.968533,59.088078,86.66651
30,6OKK,"['34G', 'MG', 'ZN']","['MG', 'ZN']",[],['34G'],['34G'],1,[201],['34G'],[0.8927444794952681],[201],['34G'],1,['34G'],1.0,['34G'],1,0.5213268763724678,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],304.08234,422.90457,374.8809,422.90457
38,6E1V,"['HMV', 'HOH', 'N']",[],"['N', 'N', 'N', 'N']","['HMV', 'HOH']",['HMV'],1,[101],['HMV'],[1.0],[101],['HMV'],1,['HMV'],1.0,['HMV'],1,1.0,0,0,0,1,0,0,0,0,1,['C' 'N' 'O' 'P'],[],56.1915,59.55749,48.02606,59.55749
46,3L3C,"['A2M', 'G6P', 'GTP', 'HOH', 'MG']",['MG'],"['A2M', 'A2M', 'GTP', 'A2M', 'A2M', 'GTP', 'A2M', 'A2M', 'GTP', 'A2M', 'A2M', 'GTP']","['G6P', 'HOH']",['G6P'],1,"[5001, 5002, 5003, 5004]","['G6P', 'G6P', 'G6P', 'G6P']","[1.0, 1.0, 1.0, 1.0]","[5001, 5002, 5003, 5004]","['G6P', 'G6P', 'G6P', 'G6P']",4,['G6P'],1.0,['G6P'],1,0.8178696343402225,0,0,1,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],55.348217,106.76857,107.122475,107.122475
47,2Z74,"['DA', 'G6P', 'HOH', 'MG']",['MG'],[],"['DA', 'G6P', 'HOH']",['G6P'],1,[201],['G6P'],[1.0],[201],['G6P'],1,['G6P'],1.0,"['DA', 'G6P']",2,1.0,0,0,1,1,0,0,0,0,2,['C' 'N' 'O' 'P'],[],92.46892,45.832508,52.44561,92.46892
52,7M4U,"['2MG', '4OC', '5MC', '7MG', 'HOH', 'MA6', 'MG', 'PSU', 'UR3', 'YQM']",['MG'],"['PSU', 'PSU', '7MG', '7MG', '2MG', '2MG', '5MC', '5MC', '2MG', '2MG', '4OC', '4OC', 'UR3', 'UR3', 'MA6', 'MA6', 'MA6']","['HOH', 'YQM']",['YQM'],1,[1601],['YQM'],[1.0],[1601],['YQM'],1,['YQM'],1.0,['YQM'],1,0.6357179096905125,1,0,0,0,0,0,0,0,1,['C' 'N' 'O' 'P'],[],300.06525,337.47403,346.39697,346.39697
