Target_RNA_ID	Target_RNA_name	AA	DNC_AG	DNC_AC	DNC_AU	DNC_GA	DNC_GG	DNC_GC	DNC_GU	DNC_CA	DNC_CG	DNC_CC	DNC_CU	DNC_UA	DNC_UG	DNC_UC	DNC_UU	DNC_Feat_17	DNC_Feat_18	DNC_Feat_19	DNC_Feat_20	DNC_Feat_21	DNC_Feat_22	DNC_Feat_23	DNC_Feat_24	
Target_159	Pri-miR-96 RNAC  (UU loop mutant to AU basepair)	0.00359	0.00287	0.00072	0.00215	0.00287	0.0043	0.00072	0.00143	0.00072	0.00143	0.00072	0.0	0.00215	0.00072	0.00072	0.00287	0.10422	0.11203	0.11347	0.1153	0.11721	0.10847	0.13504	0.16629	
Target_160	Pri-miR-96 RNA1 (Drosha processing site only)	0.00222	0.00296	0.00074	0.00296	0.00296	0.00444	0.00074	0.00148	0.00074	0.00148	0.00074	0.0	0.00296	0.00074	0.00074	0.00296	0.10801	0.11125	0.11574	0.1109	0.11926	0.10527	0.13365	0.16708	
Target_161	Pri-miR-96 RNA2 (desired GG loop only)	0.00293	0.00293	0.00146	0.00073	0.00366	0.00512	0.00073	0.00219	0.00073	0.00219	0.00073	0.0	0.00073	0.00146	0.00073	0.00219	0.12822	0.12127	0.12041	0.09708	0.14336	0.10253	0.12258	0.13603	
Target_162	Pri-miR-96 RNA3 (both the Drosha target site and adjacent target site)	0.00203	0.00271	0.00135	0.00271	0.00338	0.00474	0.00068	0.00203	0.00068	0.00203	0.00068	0.0	0.00271	0.00135	0.00068	0.00271	0.12166	0.12347	0.12567	0.12828	0.12689	0.09562	0.09849	0.14947	
Target_163	Pri-miR-96 RNA4 (GG to GC loop mutation)	0.00205	0.00274	0.00137	0.00274	0.00342	0.00411	0.00068	0.00205	0.00068	0.00274	0.00068	0.0	0.00274	0.00068	0.00137	0.00274	0.12532	0.11886	0.13183	0.13012	0.11489	0.10378	0.10241	0.14196	
Target_164	Pri-miR-96 RNA5 (UU loop mutant to UA loop)	0.00331	0.00265	0.00132	0.00198	0.00331	0.00463	0.00066	0.00198	0.00066	0.00198	0.00066	0.0	0.00198	0.00132	0.00066	0.00265	0.11567	0.1244	0.12844	0.12664	0.12328	0.09748	0.10579	0.14853	
Target_165	Pri-miR-96 AT-rich DNA hairpin	0.00167	0.0	0.0	0.00167	0.00167	0.0	0.00334	0.00084	0.0	0.00669	0.0	0.0	0.0	0.0	0.00251	0.00418	0.15225	0.07617	0.19313	0.13624	0.18986	0.06891	0.14754	0.01333	
Target_202	5'UUU/3'AUA, miR-96 Precursor Processing Site	0.00151	0.00114	0.00076	0.00227	0.00114	0.00151	0.00303	0.00151	0.00265	0.00076	0.00114	0.00227	0.00076	0.00378	0.00189	0.00303	0.10763	0.11634	0.13005	0.14356	0.13013	0.12617	0.10051	0.11647	
Target_203	5'CGAUUU/3'GGUAUA, Expanded miR-96 Precursor Processing Site	0.00151	0.00114	0.00076	0.00227	0.00114	0.00151	0.00303	0.00151	0.00265	0.00076	0.00114	0.00227	0.00076	0.00378	0.00189	0.00303	0.10763	0.11634	0.13005	0.14356	0.13013	0.12617	0.10051	0.11647	
Target_227	Pre-miR-210	0.0	0.00191	0.00382	0.0	0.00191	0.00064	0.00572	0.00191	0.00382	0.00254	0.007	0.00318	0.0	0.00509	0.0	0.0	0.14902	0.11405	0.12345	0.13252	0.11983	0.09071	0.10517	0.12773	
Target_265	miR-21 hairpin	0.00231	0.0	0.00231	0.00231	0.00231	0.00347	0.00116	0.00231	0.00231	0.0	0.00231	0.00231	0.0	0.00462	0.00231	0.00231	0.11518	0.1782	0.1128	0.10528	0.09973	0.10032	0.11461	0.14149	
Target_266	Pre-miR-372	0.00216	0.00173	0.00129	0.00173	0.00216	0.00173	0.00216	0.00259	0.00216	0.00086	0.00086	0.00173	0.00043	0.00388	0.00173	0.00129	0.10927	0.10539	0.11212	0.14302	0.12332	0.12045	0.11816	0.13978	
Target_267	Pre-miR-373	0.00171	0.00043	0.00085	0.00128	0.00128	0.0047	0.00128	0.00214	0.00043	0.00085	0.00128	0.00256	0.00085	0.00299	0.00214	0.00427	0.08882	0.10875	0.13418	0.14468	0.11683	0.12167	0.1203	0.13571	
Target_268	Pri-miR-515 drosha site (RNA 1)	0.00399	0.00266	0.00067	0.00266	0.00266	0.00399	0.00067	0.00133	0.00067	0.00133	0.00067	0.00067	0.00266	0.00067	0.00133	0.00333	0.10787	0.11604	0.11089	0.11102	0.11754	0.10973	0.14591	0.15106	
Target_269	Pri-miR-885 drosha site (RNA 2)	0.0024	0.003	0.0006	0.0018	0.003	0.00361	0.0012	0.0012	0.0006	0.0018	0.0006	0.0006	0.0018	0.0006	0.0012	0.003	0.11846	0.11455	0.11425	0.11681	0.10964	0.12475	0.12321	0.15129	
Target_270	Pri-miR-515 (RNA 3)	0.00328	0.00262	0.00066	0.00328	0.00262	0.00393	0.00066	0.00131	0.00131	0.00131	0.00066	0.0	0.00262	0.00066	0.00131	0.00328	0.10802	0.11111	0.11473	0.10919	0.11691	0.11236	0.14779	0.1504	
Target_271	Pri-miR-515 and the adjacent RNA motif (RNA 4)	0.0028	0.0028	0.00056	0.00224	0.00224	0.00336	0.00112	0.00168	0.00112	0.00168	0.00056	0.00056	0.00224	0.00056	0.00168	0.00336	0.11385	0.11246	0.11463	0.11473	0.12556	0.13014	0.12756	0.13252	
Target_282	Oligonucleotide 3	0.00166	0.00083	0.00332	0.00249	0.00332	0.00166	0.00083	0.00249	0.00332	0.00166	0.00166	0.00249	0.0	0.00498	0.00249	0.00166	0.12409	0.15273	0.08957	0.11432	0.13281	0.08405	0.10795	0.1596	
Target_283	Oligonucleotide 4	0.0024	0.0008	0.0024	0.0032	0.0032	0.0016	0.0008	0.0024	0.0032	0.0016	0.0016	0.0016	0.0	0.0048	0.0024	0.0016	0.1285	0.1521	0.08697	0.11082	0.13332	0.08929	0.10713	0.1583	
Target_301	miR-21 WT	0.00266	0.0	0.00266	0.00266	0.00266	0.00133	0.00133	0.00266	0.00266	0.0	0.0	0.00266	0.0	0.00533	0.00266	0.00266	0.12182	0.17421	0.10068	0.10771	0.10838	0.09319	0.10546	0.15659	
Target_302	miR-21 BP	0.00415	0.0	0.00276	0.00276	0.00276	0.00138	0.0	0.00415	0.00276	0.0	0.0	0.00276	0.0	0.00553	0.00415	0.00276	0.12242	0.1623	0.10433	0.13736	0.1278	0.08573	0.07421	0.14991	
Target_303	miR-21 A bulge	0.00415	0.0	0.00276	0.00276	0.00276	0.00138	0.0	0.00415	0.00276	0.0	0.0	0.00276	0.0	0.00553	0.00415	0.00276	0.12242	0.1623	0.10433	0.13736	0.1278	0.08573	0.07421	0.14991	
Target_304	miR-21 U bulge	0.00292	0.0	0.00292	0.00292	0.00292	0.00146	0.0	0.00438	0.00292	0.0	0.0	0.00292	0.0	0.00584	0.00438	0.00292	0.12636	0.1599	0.08677	0.1273	0.12306	0.077	0.10462	0.1585	
Target_305	miR-21 G-A	0.00276	0.00138	0.00276	0.00276	0.00276	0.0	0.00138	0.00276	0.00276	0.0	0.0	0.00276	0.00138	0.00414	0.00276	0.00276	0.13575	0.17301	0.0951	0.11457	0.10808	0.10228	0.09187	0.14626	
Target_312	Pre-miR-377 dicer processing site	0.00247	0.00148	0.00148	0.00197	0.00148	0.00148	0.00197	0.00197	0.00247	0.00049	0.00099	0.00148	0.00099	0.00296	0.00099	0.00542	0.10785	0.13215	0.12832	0.12707	0.12614	0.10023	0.12993	0.11825	
Target_313	Pre-miR-377 5′-G_G/3′-CAC bulge	0.00247	0.00148	0.00148	0.00197	0.00148	0.00148	0.00197	0.00197	0.00247	0.00049	0.00099	0.00148	0.00099	0.00296	0.00099	0.00542	0.10785	0.13215	0.12832	0.12707	0.12614	0.10023	0.12993	0.11825	
Target_316	miR-17 Dicer site	0.0	0.00232	0.00232	0.00348	0.00116	0.00116	0.00348	0.00464	0.00348	0.0	0.0	0.00232	0.00348	0.0058	0.00116	0.0	0.14314	0.12229	0.09653	0.13509	0.12716	0.09781	0.12233	0.12082	
